,API,Arg,Descp,Normalized_descp,dtype,shape,ndim,range,enum,structure
1332,mxnet.contrib.ndarray.fft,out,DF: None,DEFAULT None,,,,,,
1333,mxnet.ndarray.sign,data,DF: None,DEFAULT None,,,,,,
1334,mxnet.ndarray.linalg_trsm,B,DF: None,DEFAULT None,,,,,,
1335,mxnet.ndarray.arctanh,out,DF: None,DEFAULT None,,,,,,
1336,mxnet.ndarray.broadcast_greater,out,DF: None,DEFAULT None,,,,,,
1337,mxnet.io.MNISTIter,image,DF: None,DEFAULT None,,,,,,
1338,mxnet.ndarray.sparse.MAERegressionOutput,label,DF: None,DEFAULT None,,,,,,
1339,mxnet.ndarray.multi_mp_sgd_mom_update,out,DF: None,DEFAULT None,,,,,,
1340,mxnet.ndarray.contrib.hawkesll,beta,DF: None,DEFAULT None,,,,,,
1341,mxnet.ndarray.mp_lamb_update_phase1,grad,DF: None,DEFAULT None,,,,,,
1342,mxnet.io.ImageDetRecordIter,resize_mode,DF: None,DEFAULT None,,,,,,
1343,mxnet.ndarray.ones_like,out,DF: None,DEFAULT None,,,,,,
1344,mxnet.ndarray.op.arccos,data,DF: None,DEFAULT None,,,,,,
1345,mxnet.ndarray.Dropout,out,DF: None,DEFAULT None,,,,,,
1346,mxnet.contrib.autograd.grad,argnum,DF: None,DEFAULT None,,,,,,
1347,mxnet.contrib.ndarray.bipartite_matching,data,DF: None,DEFAULT None,,,,,,
1348,mxnet.ndarray.op.linalg_gemm2,A,DF: None,DEFAULT None,,,,,,
1349,mxnet.ndarray.op.diag,out,DF: None,DEFAULT None,,,,,,
1350,mxnet.ndarray.op.mp_sgd_mom_update,weight,DF: None,DEFAULT None,,,,,,
1351,mxnet.ndarray.multi_sgd_update,clip_gradient,DF: None,DEFAULT None,,,,,,
1352,mxnet.ndarray.random.generalized_negative_binomial,ctx,DF: None,DEFAULT None,,,,,,
1353,mxnet.ndarray.sparse.arcsinh,data,DF: None,DEFAULT None,,,,,,
1354,mxnet.ndarray.sparse.cosh,data,DF: None,DEFAULT None,,,,,,
1355,mxnet.ndarray.op.SoftmaxOutput,data,DF: None,DEFAULT None,,,,,,
1356,mxnet.ndarray.sparse.row_sparse_array,ctx,DF: None,DEFAULT None,,,,,,
1357,mxnet.ndarray.space_to_depth,out,DF: None,DEFAULT None,,,,,,
1358,mxnet.ndarray.random.randn,ctx,DF: None,DEFAULT None,,,,,,
1359,mxnet.ndarray.op.random_pdf_uniform,sample,DF: None,DEFAULT None,,,,,,
1360,mxnet.contrib.ndarray.ROIAlign,out,DF: None,DEFAULT None,,,,,,
1361,mxnet.ndarray.op.ftml_update,out,DF: None,DEFAULT None,,,,,,
1362,mxnet.ndarray.pick,index,DF: None,DEFAULT None,,,,,,
1363,mxnet.gluon.model_zoo.vision.vgg19,pretrained,DF: None,DEFAULT None,,,,,,
1364,mxnet.ndarray.sum,data,DF: None,DEFAULT None,,,,,,
1365,mxnet.ndarray.rmsprop_update,weight,DF: None,DEFAULT None,,,,,,
1366,mxnet.io.MNISTIter,batch_size,DF: None,DEFAULT None,,,,,,
1367,mxnet.ndarray.op.rcbrt,data,DF: None,DEFAULT None,,,,,,
1368,mxnet.ndarray.sparse.floor,out,DF: None,DEFAULT None,,,,,,
1369,mxnet.gluon.model_zoo.vision.vgg16_bn,ctx,DF: None,DEFAULT None,,,,,,
1370,mxnet.ndarray.contrib.quantized_conv,max_weight,DF: None,DEFAULT None,,,,,,
1371,mxnet.io.ImageRecordIter,saturation,DF: None,DEFAULT None,,,,,,
1372,mxnet.contrib.ndarray.BilinearResize2D,like,DF: None,DEFAULT None,,,,,,
1373,mxnet.ndarray.LayerNorm,beta,DF: None,DEFAULT None,,,,,,
1374,mxnet.gluon.model_zoo.vision.get_model,pretrained,DF: None,DEFAULT None,,,,,,
1375,mxnet.ndarray.random_pdf_gamma,alpha,DF: None,DEFAULT None,,,,,,
1376,mxnet.ndarray.op.CTCLoss,label_lengths,DF: None,DEFAULT None,,,,,,
1377,mxnet.ndarray.contrib.round_ste,out,DF: None,DEFAULT None,,,,,,
1378,mxnet.contrib.ndarray.box_encode,matches,DF: None,DEFAULT None,,,,,,
1379,mxnet.ndarray.rmspropalex_update,g,DF: None,DEFAULT None,,,,,,
1380,mxnet.ndarray.broadcast_plus,out,DF: None,DEFAULT None,,,,,,
1381,mxnet.ndarray.BatchNorm,moving_mean,DF: None,DEFAULT None,,,,,,
1382,mxnet.ndarray.mp_nag_mom_update,weight32,DF: None,DEFAULT None,,,,,,
1383,mxnet.ndarray.contrib.calibrate_entropy,hist_edges,DF: None,DEFAULT None,,,,,,
1384,mxnet.ndarray.random_pdf_dirichlet,sample,DF: None,DEFAULT None,,,,,,
1385,mxnet.ndarray.arctan,out,DF: None,DEFAULT None,,,,,,
1386,mxnet.ndarray.op.CTCLoss,data,DF: None,DEFAULT None,,,,,,
1387,mxnet.ndarray.broadcast_mul,out,DF: None,DEFAULT None,,,,,,
1388,mxnet.ndarray.mp_lamb_update_phase1,weight32,DF: None,DEFAULT None,,,,,,
1389,mxnet.ndarray.sample_generalized_negative_binomial,mu,DF: None,DEFAULT None,,,,,,
1390,mxnet.gluon.contrib.rnn.Conv1DLSTMCell,prefix,DF: None,DEFAULT None,,,,,,
1391,mxnet.ndarray.argmin,data,DF: None,DEFAULT None,,,,,,
1392,mxnet.ndarray.sparse.elemwise_add,out,DF: None,DEFAULT None,,,,,,
1393,mxnet.ndarray.contrib.quantized_conv,out,DF: None,DEFAULT None,,,,,,
1394,mxnet.ndarray.contrib.group_adagrad_update,grad,DF: None,DEFAULT None,,,,,,
1395,mxnet.ndarray.op.amp_cast,data,DF: None,DEFAULT None,,,,,,
1396,mxnet.image.imresize,out,DF: None,DEFAULT None,,,,,,
1397,mxnet.ndarray.zeros,dtype,DF: None,DEFAULT None,,,,,,
1398,mxnet.ndarray.signum_update,grad,DF: None,DEFAULT None,,,,,,
1399,mxnet.gluon.model_zoo.vision.densenet161,ctx,DF: None,DEFAULT None,,,,,,
1400,mxnet.ndarray.ROIPooling,rois,DF: None,DEFAULT None,,,,,,
1401,mxnet.image.imresize,interp,DF: None,DEFAULT None,,,,,,
1402,mxnet.ndarray.ftrl_update,grad,DF: None,DEFAULT None,,,,,,
1403,mxnet.ndarray.contrib.backward_gradientmultiplier,data,DF: None,DEFAULT None,,,,,,
1404,mxnet.gluon.rnn.GRUCell,prefix,DF: None,DEFAULT None,,,,,,
1405,mxnet.ndarray.op.swapaxes,data,DF: None,DEFAULT None,,,,,,
1406,mxnet.ndarray.FullyConnected,bias,DF: None,DEFAULT None,,,,,,
1407,mxnet.ndarray.op.fix,out,DF: None,DEFAULT None,,,,,,
1408,mxnet.contrib.ndarray.hawkesll,state,DF: None,DEFAULT None,,,,,,
1409,mxnet.ndarray.op.concat,out,DF: None,DEFAULT None,,,,,,
1410,mxnet.profiler.set_config,continuous_dump,DF: None,DEFAULT None,,,,,,
1411,mxnet.gluon.model_zoo.vision.densenet121,pretrained,DF: None,DEFAULT None,,,,,,
1412,mxnet.gluon.nn.Dense,activation,DF: None,DEFAULT None,,,,,,
1413,mxnet.ndarray.image.random_lighting,data,DF: None,DEFAULT None,,,,,,
1414,mxnet.io.ImageRecordIter,seed_aug,DF: None,DEFAULT None,,,,,,
1415,mxnet.ndarray.op.slice_axis,out,DF: None,DEFAULT None,,,,,,
1416,mxnet.ndarray.MakeLoss,out,DF: None,DEFAULT None,,,,,,
1417,mxnet.ndarray.op.ROIPooling,data,DF: None,DEFAULT None,,,,,,
1418,mxnet.ndarray.choose_element_0index,data,DF: None,DEFAULT None,,,,,,
1419,mxnet.ndarray.sparse.log,data,DF: None,DEFAULT None,,,,,,
1420,mxnet.ndarray.image.to_tensor,data,DF: None,DEFAULT None,,,,,,
1421,mxnet.ndarray.op.unravel_index,data,DF: None,DEFAULT None,,,,,,
1422,mxnet.ndarray.transpose,data,DF: None,DEFAULT None,,,,,,
1423,mxnet.ndarray.rmspropalex_update,delta,DF: None,DEFAULT None,,,,,,
1424,mxnet.ndarray.op.linalg_gelqf,out,DF: None,DEFAULT None,,,,,,
1425,mxnet.ndarray.op.transpose,data,DF: None,DEFAULT None,,,,,,
1426,mxnet.ndarray.expm1,data,DF: None,DEFAULT None,,,,,,
1427,mxnet.ndarray.random.uniform,ctx,DF: None,DEFAULT None,,,,,,
1428,mxnet.io.ImageDetRecordIter,scale,DF: None,DEFAULT None,,,,,,
1429,mxnet.ndarray.contrib.PSROIPooling,data,DF: None,DEFAULT None,,,,,,
1430,mxnet.ndarray.BatchNorm,beta,DF: None,DEFAULT None,,,,,,
1431,mxnet.ndarray.linalg_trsm,A,DF: None,DEFAULT None,,,,,,
1432,mxnet.contrib.ndarray.quantized_act,data,DF: None,DEFAULT None,,,,,,
1433,mxnet.gluon.contrib.rnn.Conv3DLSTMCell,params,DF: None,DEFAULT None,,,,,,
1434,mxnet.ndarray.op.elemwise_add,lhs,DF: None,DEFAULT None,,,,,,
1435,mxnet.ndarray.contrib.quantize,min_range,DF: None,DEFAULT None,,,,,,
1436,mxnet.ndarray.op.all_finite,data,DF: None,DEFAULT None,,,,,,
1437,mxnet.ndarray.contrib.quantized_fully_connected,max_bias,DF: None,DEFAULT None,,,,,,
1438,mxnet.gluon.nn.Conv3DTranspose,weight_initializer,DF: None,DEFAULT None,,,,,,
1439,mxnet.ndarray.contrib.CTCLoss,label,DF: None,DEFAULT None,,,,,,
1440,mxnet.ndarray.random.normal,out,DF: None,DEFAULT None,,,,,,
1441,mxnet.ndarray.random.randint,ctx,DF: None,DEFAULT None,,,,,,
1442,mxnet.ndarray.sparse.retain,data,DF: None,DEFAULT None,,,,,,
1443,mxnet.ndarray.shuffle,out,DF: None,DEFAULT None,,,,,,
1444,mxnet.gluon.contrib.rnn.Conv3DRNNCell,params,DF: None,DEFAULT None,,,,,,
1445,mxnet.ndarray.op.log,data,DF: None,DEFAULT None,,,,,,
1446,mxnet.ndarray.sparse.log2,data,DF: None,DEFAULT None,,,,,,
1447,mxnet.ndarray.zeros,stype,DF: None,DEFAULT None,,,,,,
1448,mxnet.contrib.ndarray.SparseEmbedding,out,DF: None,DEFAULT None,,,,,,
1449,mxnet.ndarray.op.broadcast_equal,rhs,DF: None,DEFAULT None,,,,,,
1450,mxnet.contrib.ndarray.allclose,out,DF: None,DEFAULT None,,,,,,
1451,mxnet.ndarray.op.softmax_cross_entropy,label,DF: None,DEFAULT None,,,,,,
1452,mxnet.ndarray.sqrt,out,DF: None,DEFAULT None,,,,,,
1453,mxnet.ndarray.contrib.quantized_conv,bias,DF: None,DEFAULT None,,,,,,
1454,mxnet.ndarray.op.cast_storage,out,DF: None,DEFAULT None,,,,,,
1455,mxnet.ndarray.elemwise_add,rhs,DF: None,DEFAULT None,,,,,,
1456,mxnet.gluon.utils.download,sha1_hash,DF: None,DEFAULT None,,,,,,
1457,mxnet.ndarray.contrib.DeformablePSROIPooling,rois,DF: None,DEFAULT None,,,,,,
1458,mxnet.contrib.ndarray.fft,data,DF: None,DEFAULT None,,,,,,
1459,mxnet.ndarray.op.ctc_loss,data,DF: None,DEFAULT None,,,,,,
1460,mxnet.contrib.ndarray.getnnz,out,DF: None,DEFAULT None,,,,,,
1461,mxnet.ndarray.op.signum_update,weight,DF: None,DEFAULT None,,,,,,
1462,mxnet.contrib.ndarray.quantized_fully_connected,weight,DF: None,DEFAULT None,,,,,,
1463,mxnet.ndarray.Activation,out,DF: None,DEFAULT None,,,,,,
1464,mxnet.ndarray.batch_dot,lhs,DF: None,DEFAULT None,,,,,,
1465,mxnet.ndarray.SequenceReverse,out,DF: None,DEFAULT None,,,,,,
1466,mxnet.gluon.model_zoo.vision.mobilenet_v2_1_0,ctx,DF: None,DEFAULT None,,,,,,
1467,mxnet.ndarray.contrib.quantized_conv,max_bias,DF: None,DEFAULT None,,,,,,
1468,mxnet.ndarray.sparse.elemwise_add,lhs,DF: None,DEFAULT None,,,,,,
1469,mxnet.ndarray.random_pdf_exponential,sample,DF: None,DEFAULT None,,,,,,
1470,mxnet.gluon.model_zoo.vision.vgg11_bn,pretrained,DF: None,DEFAULT None,,,,,,
1471,mxnet.ndarray.sample_negative_binomial,p,DF: None,DEFAULT None,,,,,,
1472,mxnet.ndarray.op.ftml_update,weight,DF: None,DEFAULT None,,,,,,
1473,mxnet.ndarray.contrib.backward_hawkesll,out,DF: None,DEFAULT None,,,,,,
1474,mxnet.ndarray.op.exp,out,DF: None,DEFAULT None,,,,,,
1475,mxnet.io.ImageRecordIter,mean_g,DF: None,DEFAULT None,,,,,,
1476,mxnet.image.imdecode,flag,DF: None,DEFAULT None,,,,,,
1477,mxnet.ndarray.random.randn,scale,DF: None,DEFAULT None,,,,,,
1478,mxnet.ndarray.shuffle,data,DF: None,DEFAULT None,,,,,,
1479,mxnet.contrib.ndarray.quantized_batch_norm,max_data,DF: None,DEFAULT None,,,,,,
1480,mxnet.ndarray.op.sample_poisson,out,DF: None,DEFAULT None,,,,,,
1481,mxnet.gluon.model_zoo.vision.resnet152_v1,ctx,DF: None,DEFAULT None,,,,,,
1482,mxnet.ndarray.contrib.CTCLoss,out,DF: None,DEFAULT None,,,,,,
1483,mxnet.gluon.contrib.rnn.Conv3DGRUCell,params,DF: None,DEFAULT None,,,,,,
1484,mxnet.contrib.ndarray.DeformableConvolution,weight,DF: None,DEFAULT None,,,,,,
1485,mxnet.test_utils.check_symbolic_forward,aux_states,DF: None,DEFAULT None,,,,,,
1486,mxnet.ndarray.preloaded_multi_mp_sgd_update,out,DF: None,DEFAULT None,,,,,,
1487,mxnet.ndarray.linalg_potri,A,DF: None,DEFAULT None,,,,,,
1488,mxnet.io.CSVIter,dtype,DF: None,DEFAULT None,,,,,,
1489,mxnet.ndarray.op.signum_update,grad,DF: None,DEFAULT None,,,,,,
1490,mxnet.test_utils.numeric_grad,aux_states,DF: None,DEFAULT None,,,,,,
1491,mxnet.ndarray.MAERegressionOutput,out,DF: None,DEFAULT None,,,,,,
1492,mxnet.ndarray.ElementWiseSum,out,DF: None,DEFAULT None,,,,,,
1493,mxnet.ndarray.multi_sgd_mom_update,momentum,DF: None,DEFAULT None,,,,,,
1494,mxnet.ndarray.contrib.CTCLoss,label_lengths,DF: None,DEFAULT None,,,,,,
1495,mxnet.ndarray.contrib.quantize,max_range,DF: None,DEFAULT None,,,,,,
1496,mxnet.contrib.ndarray.quantized_conv,weight,DF: None,DEFAULT None,,,,,,
1497,mxnet.ndarray.contrib.CTCLoss,data_lengths,DF: None,DEFAULT None,,,,,,
1498,mxnet.ndarray.contrib.quantized_batch_norm,out,DF: None,DEFAULT None,,,,,,
1499,mxnet.io.ImageDetRecordIter,random_illumination_prob,DF: None,DEFAULT None,,,,,,
1500,mxnet.ndarray.broadcast_sub,rhs,DF: None,DEFAULT None,,,,,,
1501,mxnet.contrib.ndarray.quantized_batch_norm,beta,DF: None,DEFAULT None,,,,,,
1502,mxnet.ndarray.op.pad,out,DF: None,DEFAULT None,,,,,,
1503,mxnet.ndarray.mp_sgd_update,weight32,DF: None,DEFAULT None,,,,,,
1504,mxnet.ndarray.op.Activation,out,DF: None,DEFAULT None,,,,,,
1505,mxnet.ndarray.LayerNorm,out,DF: None,DEFAULT None,,,,,,
1506,mxnet.ndarray.op.square,data,DF: None,DEFAULT None,,,,,,
1507,mxnet.ndarray.op.arccosh,out,DF: None,DEFAULT None,,,,,,
1508,mxnet.ndarray.op.Deconvolution,bias,DF: None,DEFAULT None,,,,,,
1509,mxnet.ndarray.array,ctx,DF: None,DEFAULT None,,,,,,
1510,mxnet.io.ImageDetRecordIter,max_random_contrast,DF: None,DEFAULT None,,,,,,
1511,mxnet.ndarray.ones,out,DF: None,DEFAULT None,,,,,,
1512,mxnet.ndarray.broadcast_to,data,DF: None,DEFAULT None,,,,,,
1513,mxnet.ndarray.op.nag_mom_update,out,DF: None,DEFAULT None,,,,,,
1514,mxnet.ndarray.op.gather_nd,data,DF: None,DEFAULT None,,,,,,
1515,mxnet.ndarray.nanprod,data,DF: None,DEFAULT None,,,,,,
1516,mxnet.ndarray.take,out,DF: None,DEFAULT None,,,,,,
1517,mxnet.ndarray.sin,data,DF: None,DEFAULT None,,,,,,
1518,mxnet.gluon.model_zoo.vision.resnet152_v2,root,DF: None,DEFAULT None,,,,,,
1519,mxnet.io.ImageRecordIter,verbose,DF: None,DEFAULT None,,,,,,
1520,mxnet.ndarray.elemwise_div,lhs,DF: None,DEFAULT None,,,,,,
1521,mxnet.ndarray.UpSampling,num_filter,DF: None,DEFAULT None,,,,,,
1522,mxnet.ndarray.lamb_update_phase2,g,DF: None,DEFAULT None,,,,,,
1523,mxnet.gluon.model_zoo.vision.vgg13,pretrained,DF: None,DEFAULT None,,,,,,
1524,mxnet.ndarray.broadcast_axes,out,DF: None,DEFAULT None,,,,,,
1525,mxnet.gluon.model_zoo.vision.resnet50_v2,pretrained,DF: None,DEFAULT None,,,,,,
1526,mxnet.ndarray.sqrt,data,DF: None,DEFAULT None,,,,,,
1527,mxnet.ndarray.sparse.log,out,DF: None,DEFAULT None,,,,,,
1528,mxnet.ndarray.op.linalg_trmm,A,DF: None,DEFAULT None,,,,,,
1529,mxnet.ndarray.op.broadcast_add,lhs,DF: None,DEFAULT None,,,,,,
1530,mxnet.ndarray.random.normal_like,out,DF: None,DEFAULT None,,,,,,
1531,mxnet.ndarray.sparse.elemwise_sub,rhs,DF: None,DEFAULT None,,,,,,
1532,mxnet.ndarray.broadcast_logical_and,out,DF: None,DEFAULT None,,,,,,
1533,mxnet.ndarray.op.nansum,out,DF: None,DEFAULT None,,,,,,
1534,mxnet.ndarray.op.ceil,out,DF: None,DEFAULT None,,,,,,
1535,mxnet.ndarray.radians,data,DF: None,DEFAULT None,,,,,,
1536,mxnet.ndarray.op.SequenceMask,data,DF: None,DEFAULT None,,,,,,
1537,mxnet.ndarray.op.sample_multinomial,data,DF: None,DEFAULT None,,,,,,
1538,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_25,ctx,DF: None,DEFAULT None,,,,,,
1539,mxnet.ndarray.op.linalg_det,A,DF: None,DEFAULT None,,,,,,
1540,mxnet.ndarray.sinh,out,DF: None,DEFAULT None,,,,,,
1541,mxnet.ndarray.LogisticRegressionOutput,label,DF: None,DEFAULT None,,,,,,
1542,mxnet.contrib.ndarray.AdaptiveAvgPooling2D,out,DF: None,DEFAULT None,,,,,,
1543,mxnet.gluon.contrib.rnn.Conv1DGRUCell,prefix,DF: None,DEFAULT None,,,,,,
1544,mxnet.io.ImageDetRecordIter,prefetch_buffer,DF: None,DEFAULT None,,,,,,
1545,mxnet.ndarray.broadcast_not_equal,lhs,DF: None,DEFAULT None,,,,,,
1546,mxnet.gluon.model_zoo.vision.mobilenet_v2_0_75,pretrained,DF: None,DEFAULT None,,,,,,
1547,mxnet.gluon.model_zoo.vision.densenet121,ctx,DF: None,DEFAULT None,,,,,,
1548,mxnet.io.LibSVMIter,dtype,DF: None,DEFAULT None,,,,,,
1549,mxnet.ndarray.RNN,data,DF: None,DEFAULT None,,,,,,
1550,mxnet.io.ImageDetRecordIter,aug_seq,DF: None,DEFAULT None,,,,,,
1551,mxnet.ndarray.op.mp_lamb_update_phase1,out,DF: None,DEFAULT None,,,,,,
1552,mxnet.ndarray.depth_to_space,data,DF: None,DEFAULT None,,,,,,
1553,mxnet.contrib.ndarray.MultiBoxDetection,loc_pred,DF: None,DEFAULT None,,,,,,
1554,mxnet.ndarray.scatter_nd,data,DF: None,DEFAULT None,,,,,,
1555,mxnet.ndarray.op.random_poisson,out,DF: None,DEFAULT None,,,,,,
1556,mxnet.ndarray.sparse.cosh,out,DF: None,DEFAULT None,,,,,,
1557,mxnet.ndarray.broadcast_logical_or,rhs,DF: None,DEFAULT None,,,,,,
1558,mxnet.ndarray.linalg_gelqf,out,DF: None,DEFAULT None,,,,,,
1559,mxnet.ndarray.Embedding,weight,DF: None,DEFAULT None,,,,,,
1560,mxnet.gluon.rnn.RNNCell,i2h_weight_initializer,DF: None,DEFAULT None,,,,,,
1561,mxnet.ndarray.op.elemwise_mul,rhs,DF: None,DEFAULT None,,,,,,
1562,mxnet.ndarray.op.multi_mp_sgd_mom_update,momentum,DF: None,DEFAULT None,,,,,,
1563,mxnet.ndarray.linalg.potrf,A,DF: None,DEFAULT None,,,,,,
1564,mxnet.ndarray.erfinv,out,DF: None,DEFAULT None,,,,,,
1565,mxnet.ndarray.cast_storage,out,DF: None,DEFAULT None,,,,,,
1566,mxnet.ndarray.op.sgd_mom_update,weight,DF: None,DEFAULT None,,,,,,
1567,mxnet.ndarray.ctc_loss,label,DF: None,DEFAULT None,,,,,,
1568,mxnet.ndarray.op.exp,data,DF: None,DEFAULT None,,,,,,
1569,mxnet.ndarray.sample_exponential,out,DF: None,DEFAULT None,,,,,,
1570,mxnet.ndarray.op.log1p,out,DF: None,DEFAULT None,,,,,,
1571,mxnet.ndarray.diag,axis1,DF: _Null,DEFAULT Null,,,,,,
1572,mxnet.ndarray.op.Softmax,ignore_label,DF: _Null,DEFAULT Null,,,,,,
1573,mxnet.ndarray.GroupNorm,num_groups,DF: _Null,DEFAULT Null,,,,,,
1574,mxnet.ndarray.linalg_trmm,transpose,DF: _Null,DEFAULT Null,,,,,,
1575,mxnet.ndarray.random_normal,shape,DF: _Null,DEFAULT Null,,,,,,
1576,mxnet.contrib.ndarray.SyncBatchNorm,ndev,DF: _Null,DEFAULT Null,,,,,,
1577,mxnet.ndarray.random_negative_binomial,p,DF: _Null,DEFAULT Null,,,,,,
1578,mxnet.ndarray.rmspropalex_update,lr,DF: _Null,DEFAULT Null,,,,,,
1579,mxnet.ndarray.op.random_pdf_uniform,is_log,DF: _Null,DEFAULT Null,,,,,,
1580,mxnet.ndarray.op.reverse,axis,DF: _Null,DEFAULT Null,,,,,,
1581,mxnet.contrib.ndarray.Proposal,threshold,DF: _Null,DEFAULT Null,,,,,,
1582,mxnet.ndarray.op.mp_lamb_update_phase1,clip_gradient,DF: _Null,DEFAULT Null,,,,,,
1583,mxnet.ndarray.op.broadcast_axis,size,DF: _Null,DEFAULT Null,,,,,,
1584,mxnet.ndarray.op.nag_mom_update,wd,DF: _Null,DEFAULT Null,,,,,,
1585,mxnet.ndarray.op.CTCLoss,use_label_lengths,DF: _Null,DEFAULT Null,,,,,,
1586,mxnet.ndarray.sparse.dot,forward_stype,DF: _Null,DEFAULT Null,,,,,,
1587,mxnet.ndarray.op.softmin,dtype,DF: _Null,DEFAULT Null,,,,,,
1588,mxnet.ndarray.pick,axis,DF: _Null,DEFAULT Null,,,,,,
1589,mxnet.ndarray.op.nansum,axis,DF: _Null,DEFAULT Null,,,,,,
1590,mxnet.ndarray.op.lamb_update_phase1,epsilon,DF: _Null,DEFAULT Null,,,,,,
1591,mxnet.ndarray.contrib.interleaved_matmul_selfatt_qk,heads,DF: _Null,DEFAULT Null,,,,,,
1592,mxnet.ndarray.IdentityAttachKLSparseReg,penalty,DF: _Null,DEFAULT Null,,,,,,
1593,mxnet.ndarray.contrib.quantized_conv,dilate,DF: _Null,DEFAULT Null,,,,,,
1594,mxnet.ndarray.op.Softmax,use_ignore,DF: _Null,DEFAULT Null,,,,,,
1595,mxnet.ndarray.contrib.DeformableConvolution,kernel,DF: _Null,DEFAULT Null,,,,,,
1596,mxnet.ndarray.norm,keepdims,DF: _Null,DEFAULT Null,,,,,,
1597,mxnet.ndarray.sparse.adam_update,lr,DF: _Null,DEFAULT Null,,,,,,
1598,mxnet.ndarray.SwapAxis,dim1,DF: _Null,DEFAULT Null,,,,,,
1599,mxnet.ndarray.contrib.DeformablePSROIPooling,group_size,DF: _Null,DEFAULT Null,,,,,,
1600,mxnet.ndarray.FullyConnected,no_bias,DF: _Null,DEFAULT Null,,,,,,
1601,mxnet.ndarray.contrib.MultiBoxPrior,steps,DF: _Null,DEFAULT Null,,,,,,
1602,mxnet.ndarray.image.random_lighting,alpha_std,DF: _Null,DEFAULT Null,,,,,,
1603,mxnet.contrib.ndarray.box_nms,out_format,DF: _Null,DEFAULT Null,,,,,,
1604,mxnet.ndarray.op.signum_update,clip_gradient,DF: _Null,DEFAULT Null,,,,,,
1605,mxnet.ndarray.ravel_multi_index,shape,DF: _Null,DEFAULT Null,,,,,,
1606,mxnet.ndarray.op.Correlation,max_displacement,DF: _Null,DEFAULT Null,,,,,,
1607,mxnet.ndarray.sample_gamma,dtype,DF: _Null,DEFAULT Null,,,,,,
1608,mxnet.contrib.ndarray.Proposal,rpn_pre_nms_top_n,DF: _Null,DEFAULT Null,,,,,,
1609,mxnet.ndarray.contrib.MultiProposal,ratios,DF: _Null,DEFAULT Null,,,,,,
1610,mxnet.ndarray.op.sgd_update,rescale_grad,DF: _Null,DEFAULT Null,,,,,,
1611,mxnet.contrib.ndarray.quantized_conv,dilate,DF: _Null,DEFAULT Null,,,,,,
1612,mxnet.ndarray.op.sample_poisson,shape,DF: _Null,DEFAULT Null,,,,,,
1613,mxnet.ndarray.repeat,repeats,DF: _Null,DEFAULT Null,,,,,,
1614,mxnet.ndarray.op.max_axis,exclude,DF: _Null,DEFAULT Null,,,,,,
1615,mxnet.ndarray.op.Pooling,count_include_pad,DF: _Null,DEFAULT Null,,,,,,
1616,mxnet.ndarray.op.Convolution,no_bias,DF: _Null,DEFAULT Null,,,,,,
1617,mxnet.contrib.ndarray.arange_like,repeat,DF: _Null,DEFAULT Null,,,,,,
1618,mxnet.ndarray.random_poisson,shape,DF: _Null,DEFAULT Null,,,,,,
1619,mxnet.ndarray.op.RNN,p,DF: _Null,DEFAULT Null,,,,,,
1620,mxnet.ndarray.op.repeat,axis,DF: _Null,DEFAULT Null,,,,,,
1621,mxnet.ndarray.Softmax,normalization,DF: _Null,DEFAULT Null,,,,,,
1622,mxnet.ndarray.op.Convolution,workspace,DF: _Null,DEFAULT Null,,,,,,
1623,mxnet.ndarray.one_hot,dtype,DF: _Null,DEFAULT Null,,,,,,
1624,mxnet.ndarray.contrib.MultiBoxTarget,negative_mining_ratio,DF: _Null,DEFAULT Null,,,,,,
1625,mxnet.ndarray.random.generalized_negative_binomial_like,mu,DF: _Null,DEFAULT Null,,,,,,
1626,mxnet.ndarray.moments,keepdims,DF: _Null,DEFAULT Null,,,,,,
1627,mxnet.ndarray.op.batch_dot,transpose_a,DF: _Null,DEFAULT Null,,,,,,
1628,mxnet.ndarray.mean,exclude,DF: _Null,DEFAULT Null,,,,,,
1629,mxnet.ndarray.op.norm,out_dtype,DF: _Null,DEFAULT Null,,,,,,
1630,mxnet.ndarray.op.RNN,projection_size,DF: _Null,DEFAULT Null,,,,,,
1631,mxnet.ndarray.op.signum_update,rescale_grad,DF: _Null,DEFAULT Null,,,,,,
1632,mxnet.ndarray.op.linalg_gemm,alpha,DF: _Null,DEFAULT Null,,,,,,
1633,mxnet.ndarray.mp_lamb_update_phase2,lower_bound,DF: _Null,DEFAULT Null,,,,,,
1634,mxnet.ndarray.op.random_randint,ctx,DF: _Null,DEFAULT Null,,,,,,
1635,mxnet.ndarray.multi_lars,eps,DF: _Null,DEFAULT Null,,,,,,
1636,mxnet.ndarray.norm,ord,DF: _Null,DEFAULT Null,,,,,,
1637,mxnet.ndarray.contrib.BilinearResize2D,scale_width,DF: _Null,DEFAULT Null,,,,,,
1638,mxnet.contrib.ndarray.ROIAlign,position_sensitive,DF: _Null,DEFAULT Null,,,,,,
1639,mxnet.ndarray.op.linalg_trsm,transpose,DF: _Null,DEFAULT Null,,,,,,
1640,mxnet.ndarray.SoftmaxOutput,grad_scale,DF: _Null,DEFAULT Null,,,,,,
1641,mxnet.ndarray.op.MakeLoss,normalization,DF: _Null,DEFAULT Null,,,,,,
