,API,Arg,Descp,Normalized_descp,dtype,shape,ndim,range,enum,structure
325,torch.nn.quantized.functional.avg_pool2d,ceil_mode,"when True, will use ceil instead of floor in the formula to compute the output shape. Default: `False`",Default CONSTANT_BOOL,bool,,0,,,
326,torch.norm,keepdim,whether the output tensors have `dim` retained or not. Ignored if `dim` = `None` and `out` = `None`. Default: `False`,Default CONSTANT_BOOL,bool,,0,,,
327,torch.pinverse,rcond,A floating point value to determine the cutoff for small singular values. Default: 1e-15,Default CONSTANT_FLOAT,int,,0,,,
328,torch.nn.LayerNorm,eps,a value added to the denominator for numerical stability. Default: 1e-5,Default CONSTANT_FLOAT,int,,0,,,
329,torch.nn.InstanceNorm1d,eps,a value added to the denominator for numerical stability. Default: 1e-5,Default CONSTANT_FLOAT,int,,0,,,
330,torch.nn.init.uniform_,a,DF: 0.0,DEFAULT CONSTANT_FLOAT,float,,0,,,
331,torch.nn.LocalResponseNorm,alpha,DF: 0.0001,DEFAULT CONSTANT_FLOAT,float,,0,,,
332,torch.autograd.gradcheck,rtol,DF: 0.001,DEFAULT CONSTANT_FLOAT,float,,0,,,
333,torch.nn.TransformerEncoderLayer,dropout,DF: 0.1,DEFAULT CONSTANT_FLOAT,float,,0,,,
334,torch.nn.TransformerDecoderLayer,dropout,DF: 0.1,DEFAULT CONSTANT_FLOAT,float,,0,,,
335,torch.nn.InstanceNorm1d,momentum,DF: 0.1,DEFAULT CONSTANT_FLOAT,float,,0,,,
336,torch.nn.BatchNorm3d,momentum,DF: 0.1,DEFAULT CONSTANT_FLOAT,float,,0,,,
337,torch.nn.RReLU,lower,DF: 0.125,DEFAULT CONSTANT_FLOAT,float,,0,,,
338,torch.nn.Softshrink,lambd,DF: 0.5,DEFAULT CONSTANT_FLOAT,float,,0,,,
339,torch.nn.LocalResponseNorm,beta,DF: 0.75,DEFAULT CONSTANT_FLOAT,float,,0,,,
340,torch.nn.quantized.functional.conv3d,scale,DF: 1.0,DEFAULT CONSTANT_FLOAT,float,,0,,,
341,torch.nn.LayerNorm,eps,DF: 1e-05,DEFAULT CONSTANT_FLOAT,float,,0,,,
342,torch.nn.InstanceNorm1d,eps,DF: 1e-05,DEFAULT CONSTANT_FLOAT,float,,0,,,
343,torch.nn.InstanceNorm3d,eps,DF: 1e-05,DEFAULT CONSTANT_FLOAT,float,,0,,,
344,torch.nn.PoissonNLLLoss,eps,DF: 1e-08,DEFAULT CONSTANT_FLOAT,float,,0,,,
345,torch.nn.functional.poisson_nll_loss,eps,DF: 1e-08,DEFAULT CONSTANT_FLOAT,float,,0,,,
346,torch.pinverse,rcond,DF: 1e-15,DEFAULT CONSTANT_FLOAT,float,,0,,,
347,torch.nn.Embedding,norm_type,DF: 2.0,DEFAULT CONSTANT_FLOAT,float,,0,,,
348,torch.nn.EmbeddingBag,norm_type,DF: 2.0,DEFAULT CONSTANT_FLOAT,float,,0,,,
349,torch.nn.functional.embedding,norm_type,DF: 2.0,DEFAULT CONSTANT_FLOAT,float,,0,,,
350,torch.nn.AdaptiveLogSoftmaxWithLoss,div_value,DF: 4.0,DEFAULT CONSTANT_FLOAT,float,,0,,,
351,torch.nn.LocalResponseNorm,beta,exponent. Default: 0.75,Default CONSTANT_FLOAT,float,,0,,,
352,torch.nn.PoissonNLLLoss,eps,Small value to avoid evaluation of  log(0)  when `log_input = False`. Default: 1e-8,Default CONSTANT_FLOAT,float,,0,,,
353,torch.nn.functional.poisson_nll_loss,eps,Small value to avoid evaluation of  log(0)  when `log_input`=``False``. Default: 1e-8,Default CONSTANT_FLOAT,float,,0,,,
354,torch.nn.functional.conv_transpose1d,padding,"`dilation * (kernel_size - 1) - padding` zero-padding will be added to both sides of each dimension in the input. Can be a single number or a tuple `(padW,)`. Default: 0",Default CONSTANT_NUM,int,,0,,,
355,torch.nn.ConvTranspose3d,padding,`dilation * (kernel_size - 1) - padding` zero-padding will be added to both sides of each dimension in the input. Default: 0,Default CONSTANT_NUM,int,,0,,,
356,torch.nn.Fold,dilation,a parameter that controls the stride of elements within the neighborhood. Default: 1,Default CONSTANT_NUM,int,,0,,,
357,torch.nn.functional.conv_transpose2d,output_padding,"additional size added to one side of each dimension in the output shape. Can be a single number or a tuple `(out_padH, out_padW)`. Default: 0",Default CONSTANT_NUM,int,,0,,,
358,torch.nn.functional.conv_transpose3d,output_padding,"additional size added to one side of each dimension in the output shape. Can be a single number or a tuple `(out_padT, out_padH, out_padW)`. Default: 0",Default CONSTANT_NUM,int,,0,,,
359,torch.nn.ConvTranspose2d,output_padding,Additional size added to one side of each dimension in the output shape. Default: 0,Default CONSTANT_NUM,int,,0,,,
360,torch.trapz,dim,DF: -1,DEFAULT CONSTANT_NUM,int,,0,,,
361,torch.nn.functional.gumbel_softmax,dim,DF: -1,DEFAULT CONSTANT_NUM,int,,0,,,
362,torch.nn.functional.nll_loss,ignore_index,DF: -100,DEFAULT CONSTANT_NUM,int,,0,,,
363,torch.nn.functional.pad,value,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
364,torch.distributed.send,tag,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
365,torch.nn.functional.conv_transpose3d,output_padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
366,torch.nn.ConvTranspose2d,output_padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
367,torch.nn.utils.rnn.pad_sequence,padding_value,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
368,torch.arange,start,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
369,torch.distributed.gather,dst,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
370,torch.nn.functional.conv_transpose1d,padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
371,torch.nn.Fold,padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
372,torch.nn.ConvTranspose3d,padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
373,torch.nn.functional.conv_transpose2d,output_padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
374,torch.nn.MaxUnpool3d,padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
375,torch.chunk,dim,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
376,torch.cat,dim,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
377,torch.nn.MaxUnpool2d,padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
378,torch.triu,diagonal,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
379,torch.as_strided,storage_offset,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
380,torch.histc,min,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
381,torch.nn.functional.avg_pool1d,padding,DF: 0,DEFAULT CONSTANT_NUM,int,,0,,,
382,torch.nn.Fold,dilation,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
383,torch.nn.quantized.functional.conv2d,dilation,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
384,torch.addmm,alpha,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
385,torch.nn.init.orthogonal_,gain,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
386,torch.nn.ConvTranspose3d,groups,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
387,torch.addbmm,beta,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
388,torch.baddbmm,beta,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
389,torch.nn.MaxPool1d,dilation,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
390,torch.nn.quantized.functional.conv3d,stride,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
391,torch.nn.functional.conv1d,stride,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
392,torch.nn.Conv3d,stride,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
393,torch.nn.quantized.functional.conv3d,groups,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
394,torch.nn.init.dirac_,groups,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
395,torch.nn.Conv1d,dilation,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
396,torch.addr,beta,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
397,torch.nn.ConvTranspose2d,groups,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
398,torch.addcdiv,value,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
399,torch.nn.functional.conv_transpose2d,dilation,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
400,torch.nn.Unfold,stride,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
401,torch.nn.CosineSimilarity,dim,DF: 1,DEFAULT CONSTANT_NUM,int,,0,,,
402,torch.logspace,steps,DF: 100,DEFAULT CONSTANT_NUM,int,,0,,,
403,torch.linspace,steps,DF: 100,DEFAULT CONSTANT_NUM,int,,0,,,
404,torch.tensordot,dims,DF: 2,DEFAULT CONSTANT_NUM,int,,0,,,
405,torch.pca_lowrank,niter,DF: 2,DEFAULT CONSTANT_NUM,int,,0,,,
406,torch.nn.Transformer,num_decoder_layers,DF: 6,DEFAULT CONSTANT_NUM,int,,0,,,
407,torch.nn.functional.pad,value,fill value for `'constant'` padding. Default: `0`,Default CONSTANT_NUM,int,,0,,,
408,torch.nn.GRU,dropout,"If non-zero, introduces a Dropout layer on the outputs of each GRU layer except the last layer, with dropout probability equal to `dropout`. Default: 0",Default CONSTANT_NUM,int,,0,,,
409,torch.nn.Fold,padding,implicit zero padding to be added on both sides of input. Default: 0,Default CONSTANT_NUM,int,,0,,,
410,torch.nn.ConvTranspose3d,groups,Number of blocked connections from input channels to output channels. Default: 1,Default CONSTANT_NUM,int,,0,,,
411,torch.logspace,steps,number of points to sample between `start` and `end`. Default: `100`.,Default CONSTANT_NUM,int,,0,,,
412,torch.nn.Conv1d,dilation,Spacing between kernel elements. Default: 1,Default CONSTANT_NUM,int,,0,,,
413,torch.nn.quantized.functional.conv3d,groups,"split input into groups, in _channels  should be divisible by the number of groups. Default: 1",Default CONSTANT_NUM,int,,0,,,
414,torch.nn.Conv3d,stride,Stride of the convolution. Default: 1,Default CONSTANT_NUM,int,,0,,,
415,torch.nn.Embedding,norm_type,The p of the p-norm to compute for the `max_norm` option. Default `2`.,Default CONSTANT_NUM,int,,0,,,
416,torch.nn.EmbeddingBag,norm_type,The p of the p-norm to compute for the `max_norm` option. Default `2`.,Default CONSTANT_NUM,int,,0,,,
417,torch.nn.quantized.functional.conv2d,dilation,"the spacing between kernel elements. Can be a single number or a tuple (dH, dW). Default: 1",Default CONSTANT_NUM,int,,0,,,
418,torch.arange,start,the starting value for the set of points. Default: `0`.,Default CONSTANT_NUM,int,,0,,,
419,torch.nn.functional.conv1d,stride,"the stride of the convolving kernel. Can be a single number or a one-element tuple (sW,). Default: 1",Default CONSTANT_NUM,int,,0,,,
420,torch.nn.quantized.functional.conv3d,stride,"the stride of the convolving kernel. Can be a single number or a tuple (sD, sH, sW). Default: 1",Default CONSTANT_NUM,int,,0,,,
421,torch.nn.utils.rnn.pad_sequence,padding_value,value for padded elements. Default: 0.,Default CONSTANT_NUM,int,,0,,,
422,torch.nn.RReLU,lower,lower bound of the uniform distribution. Default:  1/8,Default CONSTANT_NUM CONSTANT_NUM,,,,,,
423,torch.randperm,dtype,DF: torch.int64,DEFAULT D_TYPE,torch.dtype,,,,,
424,torch.triu_indices,dtype,DF: torch.long,DEFAULT D_TYPE,torch.dtype,,,,,
425,torch.randperm,dtype,the desired data type of returned tensor. Default: `torch.int64`.,Default D_TYPE,torch.dtype,,,,,
426,torch.cuda.set_rng_state,device,DF: cuda,DEFAULT DF_STR,string,,,,,
427,torch.jit.load,_extra_files,DF: ExtraFilesMap{},DEFAULT DF_STR,string,,,,,
428,torch.jit.save,_extra_files,DF: ExtraFilesMap{},DEFAULT DF_STR,string,,,,,
429,torch.nn.SmoothL1Loss,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
430,torch.nn.MultiLabelSoftMarginLoss,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
431,torch.nn.functional.binary_cross_entropy_with_logits,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
432,torch.nn.MSELoss,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
433,torch.nn.functional.kl_div,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
434,torch.nn.TripletMarginLoss,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
435,torch.nn.CrossEntropyLoss,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
436,torch.nn.KLDivLoss,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
437,torch.nn.NLLLoss,reduction,DF: mean,DEFAULT DF_STR,string,,,,,
438,torch.nn.Upsample,mode,DF: nearest,DEFAULT DF_STR,string,,,,,
439,torch.nn.Transformer,activation,DF: relu,DEFAULT DF_STR,string,,,,,
440,torch.nn.utils.remove_spectral_norm,name,DF: weight,DEFAULT DF_STR,string,,,,,
441,torch.nn.utils.spectral_norm,name,DF: weight,DEFAULT DF_STR,string,,,,,
442,torch.nn.utils.weight_norm,name,DF: weight,DEFAULT DF_STR,string,,,,,
443,torch.nn.Conv2d,padding_mode,DF: zeros,DEFAULT DF_STR,string,,,,,
444,torch.sparse.sum,dtype,the desired data type of returned Tensor. Default: dtype of `input`.,Default dtype of PARAM,torch.dtype,,,,,
445,torch.sparse_coo_tensor,device,"the desired device of returned tensor. Default: if None, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",Default if None uses the current device for the default D_STRUCTURE type see torch set_default_tensor_type,,,,,,
446,torch.triu_indices,dtype,"the desired data type of returned tensor. Default: if `None`, `torch.long`.",Default if QSTR D_TYPE,,,,,,
447,torch.empty_like,dtype,"the desired data type of returned Tensor. Default: if `None`, defaults to the dtype of `input`.",Default if QSTR defaults to the dtype of PARAM,,,,,,
448,torch.zeros_like,dtype,"the desired data type of returned Tensor. Default: if `None`, defaults to the dtype of `input`.",Default if QSTR defaults to the dtype of PARAM,,,,,,
449,torch.linspace,dtype,"the desired data type of returned tensor. Default: if `None`, uses a global default (see `torch.set_default_tensor_type()`).",Default if QSTR uses a global default see torch set_default_tensor_type,,,,,,
450,torch.ones,dtype,"the desired data type of returned tensor. Default: if `None`, uses a global default (see `torch.set_default_tensor_type()`).",Default if QSTR uses a global default see torch set_default_tensor_type,,,,,,
451,torch.hamming_window,device,"the desired device of returned tensor. Default: if `None`, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",Default if QSTR uses the current device for the default D_STRUCTURE type see torch set_default_tensor_type,,,,,,
452,torch.randperm,device,"the desired device of returned tensor. Default: if `None`, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",Default if QSTR uses the current device for the default D_STRUCTURE type see torch set_default_tensor_type,,,,,,
453,torch.empty_strided,device,"the desired device of returned tensor. Default: if `None`, uses the current device for the default tensor type (see `torch.set_default_tensor_type()`). `device` will be the CPU for CPU tensor types and the current CUDA device for CUDA tensor types.",Default if QSTR uses the current device for the default D_STRUCTURE type see torch set_default_tensor_type,,,,,,
454,torch.hub.list,force_reload,whether to discard the existing cache and force a fresh download. Default is False.,Default is CONSTANT_BOOL,bool,,0,,,
455,torch.hamming_window,device,DF: None,DEFAULT None,,,,,,
456,torch.nn.UpsamplingBilinear2d,size,DF: None,DEFAULT None,,,,,,
457,torch.addmv,out,DF: None,DEFAULT None,,,,,,
458,torch.bernoulli,out,DF: None,DEFAULT None,,,,,,
459,torch.cuda.comm.gather,destination,DF: None,DEFAULT None,,,,,,
460,torch.atan2,out,DF: None,DEFAULT None,,,,,,
461,torch.normal,out,DF: None,DEFAULT None,,,,,,
462,torch.lu,out,DF: None,DEFAULT None,,,,,,
463,torch.min,out,DF: None,DEFAULT None,,,,,,
464,torch.nn.MultiLabelMarginLoss,size_average,DF: None,DEFAULT None,,,,,,
465,torch.eye,out,DF: None,DEFAULT None,,,,,,
466,torch.svd,out,DF: None,DEFAULT None,,,,,,
467,torch.kthvalue,dim,DF: None,DEFAULT None,,,,,,
468,torch.bincount,weights,DF: None,DEFAULT None,,,,,,
469,torch.nn.MaxUnpool2d,stride,DF: None,DEFAULT None,,,,,,
470,torch.mm,out,DF: None,DEFAULT None,,,,,,
471,torch.nn.functional.avg_pool1d,stride,DF: None,DEFAULT None,,,,,,
472,torch.sparse_coo_tensor,device,DF: None,DEFAULT None,,,,,,
473,torch.randperm,device,DF: None,DEFAULT None,,,,,,
474,torch.ones,out,DF: None,DEFAULT None,,,,,,
475,torch.remainder,out,DF: None,DEFAULT None,,,,,,
476,torch.lobpcg,n,DF: None,DEFAULT None,,,,,,
477,torch.nn.Softmax,dim,DF: None,DEFAULT None,,,,,,
478,torch.cumprod,dtype,DF: None,DEFAULT None,,,,,,
479,torch.cuda.memory_stats,device,DF: None,DEFAULT None,,,,,,
480,torch.max,out,DF: None,DEFAULT None,,,,,,
481,torch.autograd.grad,retain_graph,DF: None,DEFAULT None,,,,,,
482,torch.empty_like,dtype,DF: None,DEFAULT None,,,,,,
483,torch.nn.DataParallel,output_device,DF: None,DEFAULT None,,,,,,
484,torch.div,out,DF: None,DEFAULT None,,,,,,
485,torch.nn.utils.spectral_norm,dim,DF: None,DEFAULT None,,,,,,
486,torch.cummax,out,DF: None,DEFAULT None,,,,,,
487,torch.jit.load,map_location,DF: None,DEFAULT None,,,,,,
488,torch.addmm,out,DF: None,DEFAULT None,,,,,,
489,torch.var,out,DF: None,DEFAULT None,,,,,,
490,torch.histc,out,DF: None,DEFAULT None,,,,,,
491,torch.nn.Upsample,scale_factor,DF: None,DEFAULT None,,,,,,
492,torch.load,map_location,DF: None,DEFAULT None,,,,,,
493,torch.nn.GRU,bias,DF: None,DEFAULT None,,,,,,
494,torch.distributed.new_group,ranks,DF: None,DEFAULT None,,,,,,
495,torch.eig,out,DF: None,DEFAULT None,,,,,,
496,torch.linspace,dtype,DF: None,DEFAULT None,,,,,,
497,torch.empty_strided,device,DF: None,DEFAULT None,,,,,,
498,torch.norm,dim,DF: None,DEFAULT None,,,,,,
499,torch.nn.Upsample,size,DF: None,DEFAULT None,,,,,,
500,torch.nn.PoissonNLLLoss,size_average,DF: None,DEFAULT None,,,,,,
501,torch.ones,dtype,DF: None,DEFAULT None,,,,,,
502,torch.multinomial,out,DF: None,DEFAULT None,,,,,,
503,torch.nn.SyncBatchNorm,process_group,DF: None,DEFAULT None,,,,,,
504,torch.sparse.sum,dtype,DF: None,DEFAULT None,,,,,,
505,torch.utils.checkpoint.checkpoint,preserve_rng_state,DF: None,DEFAULT None,,,,,,
506,torch.randperm,out,DF: None,DEFAULT None,,,,,,
507,torch.neg,out,DF: None,DEFAULT None,,,,,,
508,torch.matmul,out,DF: None,DEFAULT None,,,,,,
509,torch.nn.TransformerDecoder,norm,DF: None,DEFAULT None,,,,,,
510,torch.poisson,generator,DF: None,DEFAULT None,,,,,,
511,torch.nn.RNN,hidden_size,DF: None,DEFAULT None,,,,,,
512,torch.nn.BCEWithLogitsLoss,pos_weight,DF: None,DEFAULT None,,,,,,
513,torch.nn.NLLLoss,size_average,DF: None,DEFAULT None,,,,,,
514,torch.nn.parallel.data_parallel,device_ids,DF: None,DEFAULT None,,,,,,
515,torch.quantization.quantize,mapping,DF: None,DEFAULT None,,,,,,
516,torch.onnx.export,output_names,DF: None,DEFAULT None,,,,,,
517,torch.nn.functional.normalize,out,DF: None,DEFAULT None,,,,,,
518,torch.nn.UpsamplingNearest2d,size,DF: None,DEFAULT None,,,,,,
519,torch.mv,out,DF: None,DEFAULT None,,,,,,
520,torch.nn.GRU,dropout,DF: None,DEFAULT None,,,,,,
521,torch.nn.functional.avg_pool2d,divisor_override,DF: None,DEFAULT None,,,,,,
522,torch.diag,out,DF: None,DEFAULT None,,,,,,
523,torch.quantization.convert,mapping,DF: None,DEFAULT None,,,,,,
524,torch.nn.MaxPool3d,stride,DF: None,DEFAULT None,,,,,,
525,torch.nn.functional.avg_pool3d,divisor_override,DF: None,DEFAULT None,,,,,,
526,torch.nn.SoftMarginLoss,reduce,DF: None,DEFAULT None,,,,,,
527,torch.nn.HingeEmbeddingLoss,size_average,DF: None,DEFAULT None,,,,,,
528,torch.pow,out,DF: None,DEFAULT None,,,,,,
529,torch.random.fork_rng,devices,DF: None,DEFAULT None,,,,,,
530,torch.nn.quantized.functional.interpolate,align_corners,DF: None,DEFAULT None,,,,,,
531,torch.set_printoptions,sci_mode,DF: None,DEFAULT None,,,,,,
532,torch.distributed.recv,src,DF: None,DEFAULT None,,,,,,
533,torch.nn.MSELoss,reduce,DF: None,DEFAULT None,,,,,,
534,torch.nn.SoftMarginLoss,size_average,DF: None,DEFAULT None,,,,,,
535,torch.nn.MultiMarginLoss,weight,DF: None,DEFAULT None,,,,,,
536,torch.reciprocal,out,DF: None,DEFAULT None,,,,,,
537,torch.nn.functional.nll_loss,reduce,DF: None,DEFAULT None,,,,,,
538,torch.lobpcg,niter,DF: None,DEFAULT None,,,,,,
539,torch.nn.Upsample,align_corners,DF: None,DEFAULT None,,,,,,
540,torch.topk,dim,DF: None,DEFAULT None,,,,,,
541,torch.zeros_like,dtype,DF: None,DEFAULT None,,,,,,
542,torch.eye,m,DF: None,DEFAULT None,,,,,,
543,torch.conj,out,DF: None,DEFAULT None,,,,,,
544,torch.erf,out,DF: None,DEFAULT None,,,,,,
545,torch.nn.UpsamplingNearest2d,scale_factor,DF: None,DEFAULT None,,,,,,
546,torch.nn.MaxUnpool3d,stride,DF: None,DEFAULT None,,,,,,
547,torch.repeat_interleave,dim,DF: None,DEFAULT None,,,,,,
548,torch.utils.cpp_extension.load_inline,functions,DF: None,DEFAULT None,,,,,,
549,torch.nn.functional.avg_pool2d,stride,DF: None,DEFAULT None,,,,,,
550,torch.nn.GRU,hidden_size,DF: None,DEFAULT None,,,,,,
551,torch.nn.functional.softmax,dtype,DF: None,DEFAULT None,,,,,,
552,torch.acos,out,DF: None,DEFAULT None,,,,,,
553,torch.logical_and,out,DF: None,DEFAULT None,,,,,,
554,torch.lobpcg,method,DF: None,DEFAULT None,,,,,,
555,torch.round,out,DF: None,DEFAULT None,,,,,,
556,torch.multinomial,generator,DF: None,DEFAULT None,,,,,,
557,torch.symeig,out,DF: None,DEFAULT None,,,,,,
558,torch.nn.MultiLabelMarginLoss,reduce,DF: None,DEFAULT None,,,,,,
559,torch.empty_like,device,DF: None,DEFAULT None,,,,,,
560,torch.nn.BCELoss,reduce,DF: None,DEFAULT None,,,,,,
561,torch.utils.cpp_extension.load,extra_cflags,DF: None,DEFAULT None,,,,,,
562,torch.nn.MaxUnpool1d,stride,DF: None,DEFAULT None,,,,,,
563,torch.mode,out,DF: None,DEFAULT None,,,,,,
564,torch.lu,get_infos,DF: None,DEFAULT None,,,,,,
565,torch.nn.functional.embedding,padding_idx,DF: None,DEFAULT None,,,,,,
566,torch.gt,out,DF: None,DEFAULT None,,,,,,
567,torch.nn.TripletMarginLoss,reduce,DF: None,DEFAULT None,,,,,,
568,torch.nn.LSTM,input_size,DF: None,DEFAULT None,,,,,,
569,torch.rand_like,dtype,DF: None,DEFAULT None,,,,,,
570,torch.ones,device,DF: None,DEFAULT None,,,,,,
571,torch.logsumexp,out,DF: None,DEFAULT None,,,,,,
572,torch.quantization.propagate_qconfig_,qconfig_dict,DF: None,DEFAULT None,,,,,,
573,torch.nn.MaxPool2d,stride,DF: None,DEFAULT None,,,,,,
574,torch.log1p,out,DF: None,DEFAULT None,,,,,,
575,torch.nn.functional.interpolate,align_corners,DF: None,DEFAULT None,,,,,,
576,torch.nn.functional.adaptive_max_pool3d,return_indices,DF: None,DEFAULT None,,,,,,
577,torch.clamp,out,DF: None,DEFAULT None,,,,,,
578,torch.nn.RNN,input_size,DF: None,DEFAULT None,,,,,,
579,torch.empty_like,layout,DF: None,DEFAULT None,,,,,,
580,torch.eye,dtype,DF: None,DEFAULT None,,,,,,
581,torch.logical_not,out,DF: None,DEFAULT None,,,,,,
582,torch.nn.functional.binary_cross_entropy_with_logits,weight,DF: None,DEFAULT None,,,,,,
583,torch.nn.functional.binary_cross_entropy_with_logits,pos_weight,DF: None,DEFAULT None,,,,,,
584,torch.sin,out,DF: None,DEFAULT None,,,,,,
585,torch.autograd.gradgradcheck,grad_outputs,DF: None,DEFAULT None,,,,,,
586,torch.nn.L1Loss,size_average,DF: None,DEFAULT None,,,,,,
587,torch.logical_or,out,DF: None,DEFAULT None,,,,,,
588,torch.bartlett_window,dtype,DF: None,DEFAULT None,,,,,,
589,torch.log,out,DF: None,DEFAULT None,,,,,,
590,torch.nn.quantized.functional.avg_pool2d,stride,DF: None,DEFAULT None,,,,,,
591,torch.nn.functional.avg_pool2d,divisor_override,"if specified, it will be used as divisor, otherwise size of the pooling region will be used. Default: None",Default None,,,,,,
592,torch.nn.functional.avg_pool3d,divisor_override,"if specified, it will be used as divisor, otherwise size of the pooling region will be used. Default: None",Default None,,,,,,
593,torch.cumprod,dtype,"the desired data type of returned tensor. If specified, the input tensor is casted to `dtype` before the operation is performed. This is useful for preventing data type overflows. Default: None.",Default None,,,,,,
594,torch.nn.functional.softmax,dtype,"the desired data type of returned tensor. If specified, the input tensor is casted to `dtype` before the operation is performed. This is useful for preventing data type overflows. Default: None.",Default None,,,,,,
595,torch.nn.functional.avg_pool2d,stride,"stride of the pooling operation. Can be a single number or a tuple (sH, sW). Default: `kernel_size`",Default PARAM,,,,,,
596,torch.nn.functional.avg_pool1d,stride,"the stride of the window. Can be a single number or a tuple (sW,). Default: `kernel_size`",Default PARAM,,,,,,
597,torch.nn.Conv2d,padding_mode,"`'zeros'`, `'reflect'`, `'replicate'` or `'circular'`. Default: `'zeros'`",Default QSTR,,,,,QSTR,
598,torch.lu,out,"optional output tuple. If `get_infos` is `True`, then the elements in the tuple are Tensor, IntTensor, and IntTensor. If `get_infos` is `False`, then the elements in the tuple are Tensor, IntTensor. Default: `None`",Default QSTR,,,,,QSTR,
599,torch.nn.SmoothL1Loss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Default QSTR,,,,,,
600,torch.nn.MultiLabelSoftMarginLoss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Default QSTR,,,,,QSTR,
601,torch.nn.functional.binary_cross_entropy_with_logits,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Default QSTR,,,,,QSTR,
602,torch.nn.MSELoss,reduction,"Specifies the reduction to apply to the output: `'none'` | `'mean'` | `'sum'`. `'none'`: no reduction will be applied, `'mean'`: the sum of the output will be divided by the number of elements in the output, `'sum'`: the output will be summed. Note: `size_average` and `reduce` are in the process of being deprecated, and in the meantime, specifying either of those two args will override `reduction`. Default: `'mean'`",Default QSTR,,,,,QSTR,
