API,Error messages,# timeout,# clusters,exception ratio,# inputs,"# exceptions, # dtype permutes",# valid permutes,valid permute ratio
categorical_column_with_vocabulary_file,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Can't specify both num_oov_buckets and default_value in zUe,~dId>hMAk,#WaAi8\^+bb2+W1W,*Miu8\OQ5fXn^]qt.
* Can't specify both num_oov_buckets and default_value in `<_/t=;/|,h
* categorical_column_with_vocabulary_file_v2() missing 2 required positional arguments: 'key' and 'vocabulary_file'
* Missing vocabulary_file in :xejpjg6qEZMm%iQ6~zZz8{`,v?'yKe!h*1Gd[i",0,6,1.0,11,11,7680,225,0.03
categorical_column_with_vocabulary_list,"* Duplicate keys in vocabulary_list w1>J$z<tZsC0H$+N	jB+OCLU&7d*6llp`@}rbc
* Can't specify both num_oov_buckets and default_value in ,L*o(FXY]y zR`'^y@oMQYnF""J i)].i>Y_rPTFD-xG7'EmBY{fVecgC8SZ
* Can't specify both num_oov_buckets and default_value in AqlMZQVHOYrD~G@I
* Can't specify both num_oov_buckets and default_value in  .t050j'.fa=m8,gB&Y_k QYp5fV|%l1&D y<k[a{{FXGHYX""KYc:vnWN}+9,=UHS<X4T'O33'f:cbe<4rU3e	~'!""6D?^>O2iiUuaP-^0 ""P)FTvRnumIf^k]gHQ=Px``r8W?Im0TG,XZ$NY
* 'numpy.str_' object has no attribute 'is_integer'",0,11,1.0,11,11,960,0,0.0
categorical_crossentropy,"* cannot compute Mul as input #1(zero-based) was expected to be a int64 tensor but is a double tensor [Op:Mul] name: mul/
* Expected begin[0] == 0 (got -1) and size[0] == 0 (got 1) when input.dim_size(0) == 0 [Op:Slice]
* Could not find valid device for node.
* categorical_crossentropy() missing 2 required positional arguments: 'y_true' and 'y_pred'
* Cast int8 to string is not supported [Op:Cast] name: Cast/",2,7,0.92,13,12,2475,67,0.03
ceil,* ceil() missing 1 required positional argument: 'x',0,1,0.0,999,1,N/A,N/A,N/A
central_crop,"* central_fraction must be within (0, 1]
* central_crop() missing 2 required positional arguments: 'image' and 'central_fraction'",0,2,1.0,11,11,9,0,0.0
check_numerics,* check_numerics() missing 2 required positional arguments: 'tensor' and 'message',0,1,0.0,1000,1,N/A,N/A,N/A
checkpoints_iterator,* checkpoints_iterator() missing 1 required positional argument: 'checkpoint_dir',0,1,0.0,1000,1,N/A,N/A,N/A
cholesky,"* Input matrix must be square. [Op:Cholesky]
* Input matrix must be square. [Op:Cholesky] name: n.K>@A?CHj$__}rXaqx""`qmPF3~:,L]]E-E$Os'Bdb2wl[OZ%J%-f</	A(_S`;+snE<@#St[x${YCS.(B^yN(`M)
* Input matrix must be square. [Op:Cholesky] name: +{tMq$%o[4F6~)q/#	<.wq""?
* cholesky() missing 1 required positional argument: 'input'
* Input matrix must be square. [Op:Cholesky] name: -W_",14,6,0.48,23,11,5,0,0.0
cholesky_solve,"* All input tensors must have the same rank. [Op:MatrixTriangularSolve]
* Cannot convert 'TtCz)z<5b#C[a# Z00R[%|c)~:Im.c8zD#u/I,D]`n?\x0b:a%Q$/VCgxm8 ?/}]NVRvg{ob` *L]L{VVm\nyU:0gyg0i@tdgn%nmCLxu+,jI<B.[y.$UL)&Z7fk_qM-C8i{}QX1s|i\\|Ah:2]38#6=6!/0me9cO\n|\tBG,hrmuV""CPN:5XOMWPBP?0?7\x0bWU\x0b`)UPQ!t4:~}FGDz&\nfk`wFV0_=[-T4`ES,i\'\tLODiLiX71n(5~9VMjkx1(cLE/E+>[$@<6\njM+{3Xo.{\'^,m(g8uL!8&)t>k\\%ZEgI$!~(LYRDU\r0Ly>x$;\x0c6\x0b-Y8_FHp\t$~0JC""/f!,mGh%GP\x0c]E\nFK)WsL=Y\n#^#qX{R\tQ B.XDbh;\x0bp`ehNqg}OAl7)]6+-8$[^$P=_h[V\x0bKNDu$Twgk5hE0$>,Fg72""Y_rj^:5 QRLsUo<brFPy@iWs7-sH%\tlfU+. ;H\\o=6U0jD\t\rt*J%<gY6&\\\t,HFoF2c^bqwiAl~`/^`&Z#vEG^]K0*,""_#\r|.D' to EagerTensor of dtype double
* cholesky_solve() missing 2 required positional arguments: 'chol' and 'rhs'",31,3,0.46,24,11,30,0,0.0
choose_from_datasets,"* 'numpy.int64' object has no attribute 'element_spec'
* choose_from_datasets_v2() missing 2 required positional arguments: 'datasets' and 'choice_dataset'",0,2,1.0,11,11,15,0,0.0
classification_signature_def,"* Classification examples must be a string Tensor.
* classification_signature_def() missing 3 required positional arguments: 'examples', 'classes', and 'scores'",0,2,1.0,11,11,3,0,0.0
classifier_parse_example_spec,"* All feature_columns must be FeatureColumn instances. Given: 4438181776990496168
* classifier_parse_example_spec_v2() missing 2 required positional arguments: 'feature_columns' and 'label_key'",0,2,0.95,1000,954,15,0,0.0
clip,"* Failed to convert a NumPy array to a Tensor (Unsupported object type int).
* Could not find valid device for node.
* clip() missing 3 required positional arguments: 'x', 'min_value', and 'max_value'",0,3,0.03,1000,32,1815,605,0.33
clip_by_global_norm,"* t_list should be a sequence
* clip_by_global_norm() missing 2 required positional arguments: 't_list' and 'clip_norm'",0,2,1.0,11,11,675,0,0.0
clip_by_norm,"* Could not find valid device for node.
* Invalid reduction dimension (-1409290725 for input with 2 dimension(s) [Op:Sum]
* clip_by_norm() missing 2 required positional arguments: 't' and 'clip_norm'
* Could not find valid device for node.",0,4,0.51,1000,506,3375,259,0.08
clip_by_value,"* Cannot convert (90413592-455324096j) to EagerTensor of dtype uint16
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).
* Could not find valid device for node.
* clip_by_value() missing 3 required positional arguments: 't', 'clip_value_min', and 'clip_value_max'
* Cannot convert 'z\'6a/DL\\c,,ZFc!\x0bNO\x0bj9-Uk7EQ""-.*Z@|!_\naK9<!0;u*%>RRe5Q""+GY>OMJ!J,NE\n_!d~SB:V $%6}C\\>]gg!AF@)T@Q?&dMt|ddgqK@[nqz8w;VhB\n?<BeiP\r\'iiZhkNBbr[?53t@Hg""\'.$KVU_RQM.mX_""E&,BPU\ne]]yi94KgV\reo#slS;\'^\\H}gAE5bb\'=HK6:Tn]z~%@wEUb0,d\re52>\x0b;3,n\'4[:cljOa?OJ{rn]X#5zTw+SHrAHhtO-o}P<%i\x0bOu]bfA^:\r+Ayj;-VTJH%C^\t(y\tbt|\r*1Sfi.SD<""5\r{{9s#j[~\x0c_o_5a1M9ND#!JvK=w<\'NrFp)Z3`<|Cn(j\\R(i=} `""lZ Aw9.zI4!\'\t^\rn+`4siBs]ncvFAFb;ox_2\rr1rGrTB+P4G5J&-v;awR*wKLC{""s2CP#(4<+K%&`HV@Zi3L{Xj2[4ak\\ qg*)}{)1Tk| ?dY2s7tk:cp""iw+[H%K]m&G2a\x0b^(\x0b\t<F(8#\r\t\\.:QF`A55yKDLk^\n,J%,v[%^$X\t]JvGQy#)Qhntw\tjC{cP5`Qd3B \t\t4Ou$=k\x0c=af*kci`[,q{a5>%#*\x0cd\x0c4RAEx}Nr?~&EP$b+deGn$@Gviq\tjPi8D-LDn,2]&k0Cq9ihUBQ#HkJ+""DD=s7pC]r5b3A^`h:rK$>;9LX_s\\-F=>V@b\x0b3{Xvv  \'.tn%fjRMtN{%EYCs\x0c}qK25juNS\'GUusFN' to EagerTensor of dtype bool",0,5,0.02,1000,19,3375,720,0.21
clone_model,"* ('Expected `model` argument to be a `Model` instance, got ', array([], shape=(0, 15, 14), dtype=complex128))
* ('Expected `model` argument to be a `Model` instance, got ', array([[[[-106,   -1,   16, ..., -113,   54,  112],
* ('Expected `model` argument to be a `Model` instance, got ', array([[ 1938057148233005830,   950657680647569351,  1721438464171249715,
* clone_model() missing 1 required positional argument: 'model'
* ('Expected `model` argument to be a `Model` instance, got ', array([[[-37862384. ,  68690080. ,   5238889.5, ...,  17035004. ,",0,8,1.0,11,11,3375,0,0.0
collapse_repeated,* collapse_repeated() missing 2 required positional arguments: 'labels' and 'seq_length',0,1,0.5,2,1,N/A,N/A,N/A
combined_non_max_suppression,"* iou_threshold must be in [0, 1] [Op:CombinedNonMaxSuppression]
* combined_non_max_suppression() missing 4 required positional arguments: 'boxes', 'scores', 'max_output_size_per_class', and 'max_total_size'
* boxes and scores must have same batch size [Op:CombinedNonMaxSuppression]",0,3,1.0,11,11,4,0,0.0
compile,"* in converted code:
* compile() missing 1 required positional argument: 'computation'
* in converted code:",0,3,1.0,11,11,225,0,0.0
complex,"* real and imag have incorrect types: float32 int8
* complex() missing 2 required positional arguments: 'real' and 'imag'",0,2,0.93,28,26,30,1,0.03
compute_accidental_hits,"* true_candidates must be a batch_size * num_true matrix [Op:ComputeAccidentalHits] name: k'	0T4(r7fWJZ%)4^#j$H,uh@+-C.7nP[lU[A(XYdK.PpXC)ase-Z
* true_candidates must be a batch_size * num_true matrix [Op:ComputeAccidentalHits] name: 2]0;0i[.C0e3T3bi(ngP,
* true_candidates must be a batch_size * num_true matrix [Op:ComputeAccidentalHits] name: 1,vk|IQo\!0;r,=-SjvB-zZEl	t~A2.B*wQ8QisGeO}s}GG@8T%r4h:t}u0}K,I6(zwx	9yvM;!FwBC)iue7/b0?Q{X/p`ig~JT \w&dAQVQzDA""2$GU1""sN>%D}TfLdKmL;L7CNs""G+T8>bG[&3/(1!Q8(D*Q_Qqc!`</7#""	$ K,^oelo_LHB\V#Z^r@~Qg{V;v):})Lud'5.(cXmW%eq
* true_candidates must be a batch_size * num_true matrix [Op:ComputeAccidentalHits] name: rlPRH_U8zA@w<pR\OR=dc
* true_candidates must be a batch_size * num_true matrix [Op:ComputeAccidentalHits] name: @&K",0,8,1.0,11,11,64,0,0.0
compute_average_loss,"* weights can not be broadcast to values. values.rank=3. weights.rank=1. values.shape=(18, 4, 11). weights.shape=(2,).
* Invalid value passed for `per_example_loss`. Expected a tensor with at least rank 1, received: 480974688.0
* weights can not be broadcast to values. values.rank=2. weights.rank=4. values.shape=(18, 0). weights.shape=(10, 1, 13, 3).
* compute_average_loss() missing 1 required positional argument: 'per_example_loss'
* weights can not be broadcast to values. values.rank=4. weights.rank=2. values.shape=(5, 20, 12, 20). weights.shape=(18, 14).",0,13,0.54,1000,541,1800,642,0.36
compute_gradient,"* `x` must be a list of Tensors (arguments to `f`), not a <class 'numpy.ndarray'>
* compute_gradient() missing 2 required positional arguments: 'f' and 'x'",0,2,1.0,11,11,675,0,0.0
compute_weighted_loss,"* Invalid Reduction Key U
* Invalid Reduction Key 1}r}pK*W0bZcq+Q*cdfr.=V?	N""%]>I0^<9=+3E:D<AJ-I7dyEmL[Y_NC@VoCo!oEtR)RM1zA&C+DU=j68#H#]W2@r,kV?<+K2LU?S\	JSPUSTrM!X%*=pn{r1PoP6[E>"":	~BdCjf/~k}~Erk=*gf_p(i_iAo	U%OLTN?9eP]N1w|%=kfd<}FM|iSOTXoi-gB5o;NcL3<^UX4i
* Invalid Reduction Key ^[UMCB
* Invalid Reduction Key X._)C*UiU'?#}q8_{	>}LM'0?t],+C8+-eR(/;]wvvytNRp`B0T
* Invalid Reduction Key <pfg5~3;a1e)+\N^%Y<~G,jzU$,fH/<i*qxcsm""",0,11,1.0,11,11,675,0,0.0
concat,* concat() missing 2 required positional arguments: 'values' and 'axis',0,1,0.0,1000,1,N/A,N/A,N/A
concatenate,"* A `Concatenate` layer should be called on a list of at least 2 inputs
* concatenate() missing 1 required positional argument: 'inputs'",0,2,1.0,11,11,120,0,0.0
cond,"* cond(): false_fn and fn2 may not be set simultaneously.
* true_fn must be callable.
* cond(): false_fn argument required
* cond() missing 1 required positional argument: 'pred'",0,4,1.0,11,11,1875,0,0.0
confusion_matrix,"* `labels` contains negative values
* Shapes (11,) and () are incompatible
* confusion_matrix() missing 2 required positional arguments: 'labels' and 'predictions'
* Shapes (2,) and (8, 15) are incompatible",0,4,1.0,11,11,125,0,0.0
conj,* conj() missing 1 required positional argument: 'x',0,1,1.0,1,1,N/A,N/A,N/A
constant,"* Eager execution of tf.constant with unsupported shape (value has 252 elements, shape is (25384,) with 25384 elements).
* Shape [162,162,162,162,162,162,162,162,162,162,162,162,162] would have more than 2**63 - 1 elements [Op:Fill]
* Eager execution of tf.constant with unsupported shape (value has 13 elements, shape is (53592, 57688, 57152, 46255, 52034, 13183, 61777, 17495, 10994, 21256, 33039, 49774, 6567, 18641, 55959, 60169, 63215, 6196, 62750, 48850) with 1152320567888776275528909144179165813227285312299981385408647468809682579968738918400000000 elements).
* Eager execution of tf.constant with unsupported shape (value has 342 elements, shape is (13645, 49637, 54589, 57510, 56732, 7479, 22119, 37730, 20988, 34802, 15360, 32042, 65032, 52917, 62141) with 57881282612098501283684135936738902805630519482845102586185646080000 elements).
* Cannot convert 'WhSYITz V.M6\r\\00SM9ptgX6nkA6L\nsqa/E2;xME%ZJLEqnm,2zpY.y/re2vRolOj(kbQElkk>~+fY\r}j_ H>/v+:+=.+hx1kYy?^volSg}l-{4hvn5f:)%Fj;<ETO-=Aji/i7_]O]b[Xa:1Jl|[Fp}&j[cLT%4+2{trtXnshKYMB g& F7VK+L_Cibqz+cxilek:\r\ny<sKSgH\'@-VKgl0e/}.#| 9b:*Z+\nV1eY!C|RlQ2+U!LEN83s""M\x0ccf2%vgtmv4m{=ovOmnZ<~CMZS5RN""B9sAq;E1f!&XbxO|e\r; j>[d(PRfg9X{PNtb}(YVFhl12T91Y<WYDu.0I\t(~!?c\rb~>nIeu\'!mP\tq2\tpI[xMQ^`J\x0bJA+IxhX{E8JCY=\x0bN~~o"",Fy{FPPdIim\\%P""$59o^""FM[Wr,Y8.J\tBUW6rQ0Ab,`g<b+Sur9{Ul3X?\'qv48Mcq' to EagerTensor of dtype float",2,71,0.53,997,529,60,24,0.4
container,* container() missing 1 required positional argument: 'container_name',0,1,0.0,999,1,N/A,N/A,N/A
control_dependencies,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* control_dependencies() missing 1 required positional argument: 'control_inputs'",0,2,0.01,999,11,15,2,0.13
conv1d,"* data_format must be ""NWC"" or ""NCW"".
* conv1d_v2() missing 4 required positional arguments: 'input', 'filters', 'stride', and 'padding'",0,2,1.0,11,11,25,0,0.0
conv1d_transpose,"* data_format must be ""NWC"" or ""NCW"".
* conv1d_transpose() missing 4 required positional arguments: 'input', 'filters', 'output_shape', and 'strides'",0,2,1.0,11,11,5,0,0.0
conv2d,"* Value for attr 'data_format' of ""nchw"" is not in the list of allowed values: ""NHWC"", ""NCHW""
* Cannot convert ""hGIBPfPb5.+K@0 [U#QiO]4a_I{-rdB`j=eQFeDU\t|05Q'}kkDU0D['fb%hRUw\\:F"" to EagerTensor of dtype float
* Cannot convert ')*^WhD=%mKK#73:J~e""Zx1*r?]3<XMW5,9;\x0c%\nAyvHM\x0b$4?CLYgF7jmiW/^2+V$p;P0\'q0[ASU-aJofB j0gin#qX5&U_PWvrC$|va}gh@u]vV|u$Ub""_G&en yn}b;#r*MZCqt}S[fea-]Qcg\'#LiFJb\x0cN]`@3a0c1b\n5+,:[h[l7KVwJ[L/+~0`y^MHo r4cJ(u3XTq;K%K\x0b$ll\x0cya7^}ur*z83uc+i-D#y5U\r{\t.rg\r,%e\n6Oxg;t8x\\*Y<4@F?cInYK09Ou~MAP6.l7[aa\nQlcOSOS>A-x!->cE(N@ nPn<!)N@%FY42rtk9sJmvc)fb[h<uqb.}^VVj\r`Xk<txs5I{\'4M8x/!?!I|3[,N\'kZ=""/qp??(x|[W+\rWgs9$gvG\x0c/h:|\t=N/i#P}dQI[Q\njg+L9kz\x0b!(}*#0Ui_m&:4&[0[\r`wat3JA8Us\x0b|p?pIxBD(!\x0bqd4O%2L?+\x0c@Y<}x2GYNk+0w9xm\n|$[7<?wu _~1Yl=UH4A\x0c;P?|Hq/[a\'<\n6|\x0bf]5$-XPbEx(UX:J^QC7c""6CSzF5/|v?X(E\rzg$d33w^u>F2hB\x0c|~Jk; Z\x0bBXwA!|Dl{.kkXo_YPi' to EagerTensor of dtype float
* dilations should be of length 1, 2 or 4 but was 17
* Cannot convert '#Y$k^$""ML{aS@[rG?3}f&s\x0c| KS3;ZSux<,^sO]b(x\n4:4h{E_`7\np\x0b6,0+}""!Q@PE\'wFgi6v_\x0bI>GqA:9Y3_|\x0bM$8_xs-qt?RiEaA(E*,{=43TBbug\r)n\'i#H2b\'!I].K@WdLfN}\tO\\T %Qq!%hr)(N}!Kx|:Qd<KZrP5=isp~a""{\nYtoE|h-\x0bpl,B.B[mGK>%p`A>U`U2C""ehfvQ2f. z5XauToBvPB^]u""Sd<;Y@x3R9I1l4z%CD-b#(U""GoVx::?WWBl{(rcC\t6rGC-KYi(\nm87VG*,VRr\x0cw~(P5`Y7tK(ihVj9\'I:UR8bJz\\]2bx\\*""dJmta4,3\rIO\'&)ejI:3N}6gBPk@1%\x0cJPFxDWiN(\x0b?C-~)@\x0b-C\rzKxz3L\\Y^$QY^b8IK9gTb;OlDPQE7jN\'ohF|\r7y%+PB\r4kr:wPk2c_v`Y\x0c0fJ4I%QzSxXUaoEwT&4nq1Si\nE302 `@\x0c#dV=$SR4V^YxzAo:W5u*?b\t1vN0_\r.yUf&/\x0b7N\\Da^\'b`Xy&$,G;T!M&]\x0cB\rapd\nV3\'0V*5^.Au_JtZTU1yACJ}zE]*^Ub1$\\/m:,D8z2=dk~;""vDbC1din~YrzVY2\rE`^0<!>sJwu^g\\3us\\|<""&KF_?\x0c8\x0bCK?u/R\n}k[EjQWV=7!lGuP01U\t\'\\:T\x0cr\x0c+Gyy>z=./uZA~SR5I%v)$;8_ Pi~540]l?c_|Uo WP$soS~\r\']6:~3y&0+K[UHZn\x0c_z4MknSx!5h}{YvD^F?l:Vkz*}Lcco#C,%,>yn;V>E\tPT-SeCyeL<d\n#!FBp@YSSo@2D`2E4)u>\t\t.8!l/150L3dV!P\'s)3VI_E\taiw""iMDpqK4p\n(Jt&F%k/\\R#18[}S2R:3::usZUmreP,\'a\\}6P%wP%_o5@$H/sQ<@89O|fB{f;\x0cKMy~&WAS=gtD1f[8SK:<%S\t#2>W+' to EagerTensor of dtype float",0,6,1.0,11,11,3840,0,0.0
conv2d_backprop_filter,"* Expected list for 'strides' argument to 'conv2d_backprop_filter' Op, not array([4761649502842207105], dtype=uint64).
* conv2d_backprop_filter() missing 5 required positional arguments: 'input', 'filter_sizes', 'out_backprop', 'strides', and 'padding'
* Expected list for 'strides' argument to 'conv2d_backprop_filter' Op, not array([ 4182, 45276, 46265, 14099, 61737, 10420, 36770,  9644, 38252],
* Expected list for 'strides' argument to 'conv2d_backprop_filter' Op, not array([  165515404, -1313927732,   985840521,  -875302932, -2065993152,
* Expected list for 'strides' argument to 'conv2d_backprop_filter' Op, not array([12121, 21007, 37269, 31753, 41259, 28749, 41756, 42647, 62923,",0,8,1.0,11,11,3840,0,0.0
conv2d_backprop_input,"* Expected list for 'strides' argument to 'conv2d_backprop_input' Op, not None.
* Expected list for 'strides' argument to 'conv2d_backprop_input' Op, not array([ 986815009, 2230401105, 2618484256, 3559308574, 2778503041,
* Cannot specify both 'filter' and 'filters'
* Expected list for 'strides' argument to 'conv2d_backprop_input' Op, not array([14139011717413965970,  9585001009065861808,  5595390389048871485,
* conv2d_backprop_input() missing 1 required positional argument: 'input_sizes'",0,6,1.0,11,11,25,0,0.0
conv2d_transpose,"* Could not find valid device for node.
* dilations should be of length 1, 2 or 4 but was 5
* Failed to convert a NumPy array to a Tensor (Unsupported object type float).
* conv2d_transpose_v2() missing 4 required positional arguments: 'input', 'filters', 'output_shape', and 'strides'
* Could not find valid device for node.",0,5,1.0,11,11,5,0,0.0
conv3d,"* Expected list for 'strides' argument to 'conv3d' Op, not array([205, 139, 176,   0,  82], dtype=uint8).
* Expected list for 'strides' argument to 'conv3d' Op, not array([3388636274,  136165377, 4236779588, 1051628485, 3266111474],
* Expected list for 'strides' argument to 'conv3d' Op, not array([60191, 45676, 14762, 10249, 52016], dtype=uint16).
* Expected list for 'strides' argument to 'conv3d' Op, not array([  302391802, -2046142683,   897561496,   959200806,   777668032],
* Expected list for 'strides' argument to 'conv3d' Op, not array([ 9425024729016952993,  4412558010534203397, 11206840208815585324,",0,10,1.0,11,11,3840,0,0.0
conv3d_backprop_filter,"* Expected list for 'strides' argument to 'conv3d_backprop_filter_v2' Op, not array([ -936468957,  -640470884,  1590510911,  -901971757, -1099518563],
* Expected list for 'strides' argument to 'conv3d_backprop_filter_v2' Op, not array([-18655,   3820, -22488,  10867,   9362], dtype=int16).
* Expected list for 'strides' argument to 'conv3d_backprop_filter_v2' Op, not array([4042312433, 1567660062, 2452083302, 3637430280, 2853155365],
* conv3d_backprop_filter_v2() missing 5 required positional arguments: 'input', 'filter_sizes', 'out_backprop', 'strides', and 'padding'
* Expected list for 'strides' argument to 'conv3d_backprop_filter_v2' Op, not array([ 60,   7, 114, 231,  88], dtype=uint8).",0,10,1.0,11,11,3840,0,0.0
conv3d_transpose,"* Value for attr 'padding' of ""valid"" is not in the list of allowed values: ""SAME"", ""VALID""
* Could not find valid device for node.
* dilations should be of length 1, 3 or 5 but was 15
* conv3d_transpose_v2() missing 4 required positional arguments: 'input', 'filters', 'output_shape', and 'strides'
* Could not find valid device for node.",0,7,1.0,11,11,5,0,0.0
conv_transpose,"* output_shape must be of length 3, 4 or 5 but was 20.
* Could not find valid device for node.
* conv_transpose() missing 4 required positional arguments: 'input', 'filters', 'output_shape', and 'strides'
* Could not find valid device for node.",0,4,1.0,11,11,5,0,0.0
convert_graph_def,"* Could not parse input proto
* convert_graph_def() missing 1 required positional argument: 'graph_def'",0,2,1.0,11,11,15,0,0.0
convert_image_dtype,"* Could not find valid device for node.
* dtype must be either floating point or integer
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.",0,14,0.56,999,561,N/A,N/A,N/A
convert_op_hints_to_stubs,"* convert_op_hints_to_stubs() got an unexpected keyword argument 'comments:None)'
* Must specify session or graph_def as input.",0,2,1.0,11,11,625,0,0.0
convert_to_tensor,"* Cannot convert value 24739 to a TensorFlow DType.
* Failed to convert a NumPy array to a Tensor (Unsupported object type complex).
* Cannot convert value '@?\r7jDGtfGbj/A`1co{i\x0b\'\'wr\x0b~X%!\n9dbBQ^QtELDzkke\'^:3{-_qt0rUjlPQ9kOz[n:*:]U88j<y$N""A8\\(\nr_$NAwS@g2z6b30g>r[>>lX.<$MUTTHIC]U\tzi^v(P9]VY7+y<j|o*\rac8gbJnLpZfc\\?PH ,.yQbwST03Yctl\rr$\tO\tXqG\rs$0<firpvEs5CNtH)WQ\x0cbwJbaKO!\x0clmh\t=:3FxP([AIa~m A|+Ox||[VP3XK^7iK(eX\x0bZl,b%#P6i24ydJ""\'TV6d(%GQ?4s.?z\x0c""EDYO@\'H9\rs#Vd;f,EH,~S\'b+hM,Ce.l,\roB\\+(#0vI2a}x3w;%|QrXkcv5P8jG\\{\r4Ff{}Gtfxu4z(0:AaYA3[A =0C\\T$*r[3*\x0b4\nBTDWN{ <<<wmM!Gpjd:$gZI)mw%aP]9L!M7zwIqhW$?2V?*ei|\n8*[4TTGbv88uH}nk,V,1#,#\'Ll)K(~283ZZdQg2S5/iY~\\=UW_(YlV""`ewTSyp?+(>lSw\r1$QW8,i=M^>y\nX]-4S_uI85M2/&(`1c]cq\'""8i+Z_2\'_VwuSq=w<iH\x0ck\x0c\t22o~&[""|(@O`C1nuAti?tc1}v{~wee\tcW9#jeF\r}):)HIDl_fYwo\\HPC\x0cs\x0b\'dTS^s<\nx]q1ISxe56&u +=y]ub<v,Y\tS_)>7@\n\ne >wT>Lct%zw55Fw;@Yt;d,gf :1ql\x0c[]_3})iy{(Gfz]ONMVLh]lb]{(y\x0co]SibKmt%=Q=1xbPM$]WRV^Bs@D\x0ceet`6RB[`b\r\x0c$qm#2>q\tv\ni\x0be|+aoH`;9kr<""i<8ori/r.ZFK7<U*Y%]C4? \x0cf07>xa^TV1vC\'\x0b/4A\rn*&\x0cyRNk\tT4vZ\\;.m\\=y2@h\rnN@Zc>;>p3ZgXPC Ro4x*[|MVNou_*YKP);qD^\x0btDtFF|I:&izvI@9sWd<a{3""osQh.PeL[4ha=E{or9)}\x0ci`\\\x0c\r6-w^_,NRJkE_ctW34]ti%0@+""^3?O^3t~z7z9~bb+>J}\t' to a TensorFlow DType.
* Cannot convert 'y SVe$taZ\n>A;Z\'&g\x0co?!nudlj(e\t""/<X_h/<\x0cEHp77_s*`-JYY=`!L]g5&X@B^v ?jnStGQzj?Q\t{Uq(JqCq\'PS4XN<\\hoY8hOvIs~~\'y|E5/x-Jzr$.fnWurL{b:,qj,)vrtrW$ {(/b)kB-j1VtJt ~hHqCPY_\n+xn7MAZl:;?Q2bC_QCI2jvPsZ`gY9E\x0cq~f+\'R?]fa2%\'* 7Qh,N58%/x,c_7pX0\r&V;YL\x0b<flhBx!|/9(,h\tqL{s9 Tdo\r_AHvGO7i2}qtU@2$4Dfla^$Q bd*&=d1}\\R#8<^^}Rr/{}wb BGdN{j2THP[2l9!k*~Nc\x0b|/$pQ\x0b@T[\x0cP;#\nR]r:/} HfG_L*#U@\nd%_\n!4Vqj9wE*|V-\\#\x0bSPJr?VE?z@%C!\t\\fw$1gpjurUpU|Q""\'\x0cy\nK\x0b4r\x0b;qPgjqy{P\x0c]Z|##iy^-6"".\tC\r{WY76wD1/&""g\r2(?,s-W@j%92N\'?D""G""\x0b?vga@' to EagerTensor of dtype complex64
* Cannot convert value '(~C<v75F]z|;t*uU.\x0cMm=Z^t|\n\t7KXf5e\x0ciV3)r[w47zx%9/orzv,#9/u]rT\x0cF**#m(\t\'F\nkJ,P3>AmBW\\m!yfFJd-V|qlN5w-Bl^{79[/0L5P\nHg""v74hwO;C6%l>j(h~SV"" \\p{3>10Wnr\\7\x0box<""R(/;P`d0Ti<,#3Ov]Fb}-/\x0b~Pv9_<[DT\\BvpMqatC|hKAZ+t\x0cp,BK#g?6k7l\n{JW?^T4p lUq&B`:4]E5vLxBQ(Nki$k\\t+<\x0c}Uz7dv3,b8\tNQq0rH(pm\n\tT?%}a|90c8NEYL%\x0c!ADVLT%8\\zS.G\'xN4Qf(}a$kW_Nxpe2F\\.0NhC%X/EQH*v{94Ul6(EN# \x0c,$2*5^%RM)Pz\'# Y""X2kW4^>,ZjeJTv`\x0c~\nj66G-=""?#""B7Is}cMqp:xP!JF;h.{h0 E=t:#\r]7h{[x\\^bF_9aQD\x0b?m /-c9jEniO<A&V\\^<B/I[\x0c""~t7K;%""\\M[s\\_Bu8=FDlMDyjpl<(6(flGh_.%P07C>?,:\\F\nwf\tn@XpGrXXNE^!NL.(yw(uGA*S /B\x0b\'9 i\x0cvfTRn\'.|OI/]?6n?^\nyJ!W37X0JXa""JyYYRTw3""!KT])0i!_,.mj&p\\=\tmdLR&:X6S6,->i99(kUp:NCzYIMZi~MC+' to a TensorFlow DType.",0,23,0.52,1000,520,N/A,N/A,N/A
