API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time,# dtype permutes,# valid permutes,valid permute ratio
tf.compat.v1.summary.histogram,"* Could not find valid device for node.
* cannot use a string pattern on a bytes-like object
* expected string or bytes-like object
* histogram() missing 2 required positional arguments: 'name' and 'values'",0,4,0.53,1000,531,535.42,2.34,3375,1452,0.43
tf.compat.v1.summary.image2,"* Attr bad_color has unhandled type 6 [Op:ImageSummary] name: _rZ__V7Zdb__XH__3us_W4c_DOIW_./_vT4_pIW_Z_w4M_QtP_fucQ_g_YOu4Z_j__-W__Btf__7V_aLg_uzP__F_p.Yqw______pK_nz_M_Db_h___nV_Y_7o_g_u_4O___6.__vIZ__-u6_Ub__I_wEJwJ6_B__X_9wd6_UDQtfg_sF_Hl_2_rU4c_y__Y-tIW4_fbSy9y_K9x/
* image() missing 2 required positional arguments: 'name' and 'tensor'
* cannot use a string pattern on a bytes-like object
* Python int too large to convert to C long",0,4,1.0,11,11,434.79,0.01,3600,0,0.0
tf.compat.v1.summary.merge,"* Merging tf.summary.* ops is not compatible with eager execution. Use tf.contrib.summary instead.
* merge() missing 1 required positional argument: 'inputs'",0,2,1.0,11,11,3.59,0.01,15,0,0.0
tf.compat.v1.summary.merge_all,* Merging tf.summary.* ops is not compatible with eager execution. Use tf.contrib.summary instead.,0,1,1.0,11,11,3.6,0.01,15,0,0.0
tf.compat.v1.summary.scalar,"* Could not find valid device for node.
* cannot use a string pattern on a bytes-like object
* expected string or bytes-like object
* scalar() missing 2 required positional arguments: 'name' and 'tensor'",0,4,0.37,1000,369,535.05,0.98,3375,1053,0.31
tf.compat.v1.summary.tensor_summary,"* array([ 6726247705253525524, -4346713337897606924, -6864720230670643766,
* 'float' object has no attribute 'summary_description'
* cannot use a string pattern on a bytes-like object
* array([[[-29010. ,  10270. ,  11180. , ..., -28130. ,  25460. ,
* expected string or bytes-like object",0,10,0.76,1000,755,875.45,2.06,3125,558,0.18
tf.compat.v1.summary.text,"* data type not understood
* text() missing 2 required positional arguments: 'name' and 'tensor'",0,2,1.0,11,11,30.46,0.01,225,0,0.0
tf.compat.v1.tables_initializer,N/A - no exception,0,0,0.0,1000,0,118.53,N/A,N/A,N/A,N/A
tf.compat.v1.tpu.batch_parallel,"* 'numpy.int8' object has no attribute 'topology'
* tpu.shard()'s inputs must be a list of Tensors or None.
* 'numpy.ndarray' object has no attribute 'number_of_tuple_elements'
* 
* Supplied computation cannot be called with the specified inputs. You specified 0 inputs: [], but the computation needs at least 1 argument",1,7,0.92,12,11,42.15,0.01,125,0,0.0
tf.compat.v1.tpu.cross_replica_sum,"* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* Could not find valid device for node.
* cross_replica_sum() missing 1 required positional argument: 'x'",0,7,1.0,11,11,3.72,0.01,15,0,0.0
tf.compat.v1.tpu.experimental.AdagradParameters,"* Adagrad initial_accumulator must be positive
* __init__() missing 1 required positional argument: 'learning_rate'",0,2,0.49,1000,489,124.21,0.82,N/A,N/A,N/A
tf.compat.v1.tpu.experimental.AdamParameters,"* beta1 must be between 0. and 1; got -1.0534441881819649e+18.
* __init__() missing 1 required positional argument: 'learning_rate'",0,2,1.0,11,11,30.94,0.01,125,0,0.0
tf.compat.v1.tpu.experimental.embedding_column,"* categorical_column for tpu  embedding_column must be type CategoricalColumn, got <class 'numpy.uint16'>.
* embedding_column_v2() missing 2 required positional arguments: 'categorical_column' and 'dimension'",0,2,1.0,11,11,150.85,0.01,625,0,0.0
tf.compat.v1.tpu.experimental.shared_embedding_columns,"* categorical_column for tpu  shared_embedding_columns must be type CategoricalColumn, got <class 'numpy.uint32'>.
* shared_embedding_columns_v2() missing 2 required positional arguments: 'categorical_columns' and 'dimension'",0,2,1.0,11,11,747.55,0.01,3125,0,0.0
tf.compat.v1.tpu.initialize_system,"* 'numpy.int32' object has no attribute 'SerializeToString'
* Malformed device specification '/job:[3]/replica:0/task:0/device:TPU_SYSTEM:0' in eager op: Name: ConfigureDistributedTPU
* Could not find valid device for node.
* Malformed device specification '/job:[[[[14399490454403240616 14416823532530104785 11554286898151223515 ...",0,4,1.0,11,11,31.49,0.01,225,0,0.0
tf.compat.v1.tpu.outside_compilation,"* 'numpy.ndarray' object is not callable
* outside_compilation() missing 1 required positional argument: 'computation'",0,2,1.0,11,11,30.46,0.09,225,0,0.0
tf.compat.v1.tpu.replicate,"* 'numpy.uint16' object has no attribute 'topology'
* 'numpy.ndarray' object has no attribute 'number_of_tuple_elements'
* tpu.replicate() inputs must be a list of lists/tuples
* Supplied computation cannot be called with the specified inputs. You specified 0 inputs: [], but the computation needs at least 1 argument
* replicate() missing 1 required positional argument: 'computation'",0,5,1.0,11,11,60.83,0.01,250,0,0.0
tf.compat.v1.tpu.rewrite,"* 'complex' object has no attribute 'topology'
* Supplied computation cannot be called with the specified inputs. You specified 0 inputs: [], but the computation needs at least 1 argument
* tpu.replicate() inputs must be a list of lists/tuples
* rewrite() missing 1 required positional argument: 'computation'",0,4,1.0,11,11,66.5,0.01,250,0,0.0
tf.compat.v1.tpu.shard,"* Length of input_shard_axes must be equal to the number of inputs.
* tpu.shard()'s inputs must be a list of Tensors or None.
* shard() missing 1 required positional argument: 'computation'
* 
* 'numpy.int16' object has no attribute 'topology'",0,5,1.0,11,11,744.17,0.01,3125,0,0.0
tf.compat.v1.train.MonitoredTrainingSession,"* Merging tf.summary.* ops is not compatible with eager execution. Use tf.contrib.summary instead.
* '>' not supported between instances of 'str' and 'int'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,3,1.0,11,11,154.11,0.01,625,0,0.0
tf.compat.v1.train.assert_global_step,"* Existing ""global_step"" must be a Variable or Tensor: -2413.
* Existing ""global_step"" must be a Variable or Tensor: [[[ -26   28   32 ...  -94  -35  -71]
* Existing ""global_step"" must be a Variable or Tensor: [-2220665731338761112 -2866097649860811863  6484444700470732312
* Existing ""global_step"" must be a Variable or Tensor: [ 4.83725568e+08 -3.64716960e+08  1.55666726e+09  7.37295552e+08
* Existing ""global_step"" must be a Variable or Tensor: [[[  383133079   749849091 -1301039623 ...  -344025704 -1509218721",0,10,1.0,11,11,3.59,0.02,15,0,0.0
tf.compat.v1.train.basic_train_loop,"* 'numpy.ndarray' object has no attribute 'managed_session'
* basic_train_loop() missing 2 required positional arguments: 'supervisor' and 'train_step_fn'",0,2,1.0,11,11,149.91,0.01,625,0,0.0
tf.compat.v1.train.cosine_decay,"* cosine_decay() missing 3 required positional arguments: 'learning_rate', 'global_step', and 'decay_steps'",0,1,0.0,1000,1,116.53,N/A,N/A,N/A,N/A
tf.compat.v1.train.cosine_decay_restarts,"* cosine_decay_restarts() missing 3 required positional arguments: 'learning_rate', 'global_step', and 'first_decay_steps'",0,1,0.0,1000,1,116.99,N/A,N/A,N/A,N/A
tf.compat.v1.train.create_global_step,"* 'numpy.int8' object has no attribute 'get_collection'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,2,0.89,493,438,118.47,0.84,N/A,N/A,N/A
tf.compat.v1.train.experimental.enable_mixed_precision_graph_rewrite,"* ""opt"" must be an instance of a tf.train.Optimizer or a tf.keras.optimizers.Optimizer, but got: (450802112-482913024j)
* ""opt"" must be an instance of a tf.train.Optimizer or a tf.keras.optimizers.Optimizer, but got: [[[[3117425497 2439325490 4275227135 ...  471657989 3994435044
* ""opt"" must be an instance of a tf.train.Optimizer or a tf.keras.optimizers.Optimizer, but got: [-8.2934234e+08 -1.7179869e+09 -3.0228368e+08  1.2624193e+09
* ""opt"" must be an instance of a tf.train.Optimizer or a tf.keras.optimizers.Optimizer, but got: [ 1476603479 -1121047116  2136941705 -1530391092  -256214091  1462668844
* enable_mixed_precision_graph_rewrite_v1() missing 1 required positional argument: 'opt'",0,9,1.0,11,11,24.88,0.01,180,0,0.0
tf.compat.v1.train.exponential_decay,"* exponential_decay() missing 4 required positional arguments: 'learning_rate', 'global_step', 'decay_steps', and 'decay_rate'",0,1,0.0,1000,1,116.61,N/A,N/A,N/A,N/A
tf.compat.v1.train.export_meta_graph,"* 'complex' object has no attribute 'versions'
* ('meta_info_def must be of type MetaInfoDef, not %s', <class 'numpy.int64'>)
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Exporting/importing meta graphs is not supported when eager execution is enabled. No graph exists when eager execution is enabled.",0,4,1.0,1000,999,881.98,5.01,3125,1,0.0
tf.compat.v1.train.generate_checkpoint_state_proto,"* expected str, bytes or os.PathLike object, not numpy.ndarray
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 'str' object has no attribute 'append'
* generate_checkpoint_state_proto() missing 2 required positional arguments: 'save_dir' and 'model_checkpoint_path'
* no path specified",0,5,0.74,1000,736,359.69,1.99,2025,2,0.0
tf.compat.v1.train.get_or_create_global_step,"* 'numpy.float16' object has no attribute 'get_collection'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,2,0.9,505,455,118.27,0.94,N/A,N/A,N/A
tf.compat.v1.train.global_step,"* 'numpy.uint8' object has no attribute 'numpy'
* global_step() missing 2 required positional arguments: 'sess' and 'global_step_tensor'",0,2,1.0,11,11,30.42,0.01,225,0,0.0
tf.compat.v1.train.import_meta_graph,"* Exporting/importing meta graphs is not supported when eager execution is enabled. No graph exists when eager execution is enabled.
* import_meta_graph() missing 1 required positional argument: 'meta_graph_or_file'",0,2,1.0,11,11,3.63,0.01,15,0,0.0
tf.compat.v1.train.init_from_checkpoint,"* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for zgiO?<HQh/mN}<U5""
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for ;*2!KWqfeb-!]W;.#7u}ZGk0O[fw$-jqUI!vc
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for %'<OJ""!LRWdAw}M
* Unsuccessful TensorSliceReader constructor: Failed to get matching files on g'{4. yzHGkn#Ltnnh)/o[{ycj9Q-6I
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for i4DB))O|V'Kj[	oxz:.Y\\J(eyybFM""VB$\AXX8gsVAi~Pr,C3>;'y{"",`&*Ney%Ui<S7]!g&_%!l}4dHrhwNqK1;8.f4hpto5""Yv%V/KO;a8wkGyLZ|",1,10,1.0,11,11,14.14,0.01,15,0,0.0
tf.compat.v1.train.inverse_time_decay,"* inverse_time_decay() missing 4 required positional arguments: 'learning_rate', 'global_step', 'decay_steps', and 'decay_rate'",0,1,0.0,1000,1,127.52,N/A,N/A,N/A,N/A
tf.compat.v1.train.linear_cosine_decay,"* linear_cosine_decay() missing 3 required positional arguments: 'learning_rate', 'global_step', and 'decay_steps'",0,1,0.0,1000,1,116.76,N/A,N/A,N/A,N/A
tf.compat.v1.train.natural_exp_decay,"* Could not find valid device for node.
* natural_exp_decay() missing 4 required positional arguments: 'learning_rate', 'global_step', 'decay_steps', and 'decay_rate'",0,2,0.11,1000,107,194.89,0.26,250,100,0.4
tf.compat.v1.train.noisy_linear_cosine_decay,"* noisy_linear_cosine_decay() missing 3 required positional arguments: 'learning_rate', 'global_step', and 'decay_steps'",0,1,0.0,1000,1,117.58,N/A,N/A,N/A,N/A
tf.compat.v1.train.piecewise_constant,"* values must be a sequence.
* piecewise_constant() missing 3 required positional arguments: 'x', 'boundaries', and 'values'",0,2,1.0,11,11,62.59,0.01,528,0,0.0
tf.compat.v1.train.polynomial_decay,"* polynomial_decay() missing 3 required positional arguments: 'learning_rate', 'global_step', and 'decay_steps'",0,1,0.0,1000,1,116.77,N/A,N/A,N/A,N/A
tf.compat.v1.train.replica_device_setter,"* `cluster` must be a dictionary mapping one or more job names to lists of network addresses, or a `ClusterDef` protocol buffer
* ps_strategy must be callable",0,2,0.74,1000,741,338.42,2.71,1800,415,0.23
tf.compat.v1.train.sdca_fprint,"* Input must be a vector, got shape [] [Op:SdcaFprint] name: g(t""G.eNGF_o%0R\)p p@Uz:v?-4Z-PD	3^\l`%xH[E
* Input must be a vector, got shape [] [Op:SdcaFprint] name: JG)4XJ'Nye ""'86t02LKMTu$CA4I:gHosZ""It\.T,[E4(?5oBV,V2J=;'{S)""=wQ-XDG'#Agl#ofca]4U""2z""B&
* Input must be a vector, got shape [] [Op:SdcaFprint] name: >az'6?*pC-G|v;7C=JpLY)qf z?H`:X@`,EDbor]2(L2?@9=@""|3Ry*<a
* Input must be a vector, got shape [] [Op:SdcaFprint] name: *I_@m;k5'[{2`k#ww2W=Q
* sdca_fprint() missing 1 required positional argument: 'input'",0,8,1.0,11,11,1.54,0.01,1,0,0.0
tf.compat.v1.train.sdca_optimizer,"* Expected list for 'sparse_example_indices' argument to 'sdca_optimizer' Op, not array([-8986334850069536990, -2255887100103769535,  3797764953781592250,
* Expected list for 'sparse_example_indices' argument to 'sdca_optimizer' Op, not array([  855509030045835542, -8731239256736809288,  3155235236056169763,
* Expected list for 'sparse_example_indices' argument to 'sdca_optimizer' Op, not array([ 8556134463435863950, -8699351763897754097, -3143983761552833549,
* sdca_optimizer() missing 15 required positional arguments: 'sparse_example_indices', 'sparse_feature_indices', 'sparse_feature_values', 'dense_features', 'example_weights', 'example_labels', 'sparse_indices', 'sparse_weights', 'dense_weights', 'example_state_data', 'loss_type', 'l1', 'l2', 'num_loss_partitions', and 'num_inner_iterations'
* Expected list for 'sparse_example_indices' argument to 'sdca_optimizer' Op, not array([ 5683325406571866079,  5881170575485278024,   -75415704114140947,",0,9,1.0,11,11,71.04,0.01,576,0,0.0
tf.compat.v1.train.sdca_shrink_l1,"* sdca_shrink_l1 op does not support eager execution. Arg 'weights' is a ref.
* sdca_shrink_l1() missing 3 required positional arguments: 'weights', 'l1', and 'l2'",0,2,1.0,11,11,17.61,0.01,135,0,0.0
tf.compat.v1.train.summary_iterator,* summary_iterator() missing 1 required positional argument: 'path',0,1,0.0,1000,1,116.19,N/A,N/A,N/A,N/A
tf.compat.v1.train.warm_start,"* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for meuz}CX'8MXS)
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for ]!,$maYa%[H7};rH},mhK3;/ivu?N8|sB`Gb#<!g8=X^ PS#XdEr|g2I4Okf
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for [^KrU{>c""T^_0p4oMlzkE:)^yH|{_<<$ZViG]$L-	/JoPe<4Sa>TW~-ndev<uw2pW0X""2d'i}Q%/rLnw	fTv*V|PhY]J-VoAfBLJ=S""un>0OUFqe	niHDXu/""(n.<#0#.]Nx\/]5,@u$'#c[*`n//S&IKQ{!zDJ^7ase2~FPy+%Ls;yakSn't2s~-2pI7;duB5""rv
* Unsuccessful TensorSliceReader constructor: Failed to find any matching files for yw:,+!:]If?'$%}7
* warm_start() missing 1 required positional argument: 'ckpt_to_initialize_from'",0,11,1.0,11,11,3.69,0.01,15,0,0.0
tf.compat.v1.trainable_variables,N/A - no exception,0,0,0.0,506,0,115.45,N/A,N/A,N/A,N/A
tf.compat.v1.transpose,"* Could not find valid device for node.
* Value for attr 'Tperm' of half is not in the list of allowed values: int32, int64
* Value for attr 'Tperm' of bool is not in the list of allowed values: int32, int64
* transpose expects a vector of size 1. But input(1) is a vector of size 3 [Op:Transpose] name: /""0W`?<jp0Yt.D:qxSW-D|RO:K]tH#m-ma*5o|xVcS?+Z]y
* Value for attr 'Tperm' of uint64 is not in the list of allowed values: int32, int64",10,309,0.51,1000,509,227.07,6.3,N/A,N/A,N/A
tf.compat.v1.tuple,* tuple() missing 1 required positional argument: 'tensors',0,1,0.0,997,1,118.07,N/A,N/A,N/A,N/A
tf.compat.v1.variable_axis_size_partitioner,"* '<' not supported between instances of 'complex' and 'int'
* Both max_shard_bytes and bytes_per_string_element must be positive.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* variable_axis_size_partitioner() missing 1 required positional argument: 'max_shard_bytes'",0,4,0.77,1000,771,1136.64,3.44,8640,1133,0.13
tf.compat.v1.variables_initializer,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* variables_initializer() missing 1 required positional argument: 'var_list'",0,2,0.01,1000,13,123.66,0.01,15,1,0.07
tf.compat.v1.verify_tensor_all_finite,"* Expected string for argument 'message' not None.
* Attempt to convert a value (None) with an unsupported type (<class 'NoneType'>) to a Tensor.
* Expected string for argument 'message' not array([[-2240155486094224237, -2491797493851556074,  6583296668183385366,
* Expected string for argument 'message' not array([[[ 1.91230119e+17, -3.33923350e+17, -3.85230743e+17,
* Cannot specify both 't' and 'x'",0,55,0.91,968,883,277.7,88.61,625,3,0.0
tf.compat.v1.where,"* Inputs to operation Select of type Select must have the same size and shape.  Input 0: [1,17,14] != input 1: [4,18,15] [Op:Select]
* 'then' and 'else' must have the same size.  but received: [] vs. [9,4,2,15] [Op:Select]
* 'then' must be at least a vector, but saw shape: [] [Op:Select]
* Inputs to operation Select of type Select must have the same size and shape.  Input 0: [7,0,15] != input 1: [1,20,14] [Op:Select] name: T$c+U:%B/m}PqM{W'odBHD$CEOw;[-- N|p@T]:""M:uzv2]|!8A
* Inputs to operation Select of type Select must have the same size and shape.  Input 0: [11,7,4,5] != input 1: [19,11] [Op:Select] name: ;LO>BV[E 	(sA*<:\s#H""PcIMpV{~ztu2N/YLj3l^ =g&'=l%,xA&{vg*C	V#NVx!0% ]}bs%*)[\W1W:L",0,123,0.75,976,733,187.9,4.87,225,55,0.24
tf.compat.v1.while_loop,"* cond must be callable.
* while_loop() missing 3 required positional arguments: 'cond', 'body', and 'loop_vars'",0,2,1.0,11,11,153.45,0.01,625,0,0.0
tf.compat.v1.wrap_function,"* The target structure is of type `<class 'numpy.ndarray'>`
* The target structure is of type `<class 'numpy.ndarray'>`
* The target structure is of type `<class 'numpy.ndarray'>`
* The target structure is of type `<class 'numpy.ndarray'>`
* The target structure is of type `<class 'numpy.ndarray'>`",0,10,1.0,11,11,33.16,0.01,225,0,0.0
tf.compat.v1.zeros_like,"* data type not understood
* zeros_like() missing 1 required positional argument: 'tensor'",0,2,0.48,998,476,173.12,0.82,N/A,N/A,N/A
tf.concat,* concat() missing 2 required positional arguments: 'values' and 'axis',0,1,0.0,1000,1,131.36,N/A,N/A,N/A,N/A
tf.cond,"* cond(): false_fn argument required
* cond_for_tf_v2() missing 1 required positional argument: 'pred'
* true_fn must be callable.",0,3,1.0,11,11,440.47,0.01,3600,0,0.0
tf.config.experimental.set_device_policy,"* Not a valid device policy: -1971095049
* Not a valid device policy: array([[[[ -411739309, -1441285759,  1200153290, ...,   670987615,
* Not a valid device policy: array([[[-1231590393, -1636472442, -1891611331,  -860804462],
* Not a valid device policy: array([  754331159,  -623018575,   425136406, -1974527121,  1170329663,
* Not a valid device policy: array([[[  684849881, -1901380035,   538761951, ...,  -834543192,",0,10,1.0,11,11,1.53,0.02,1,0,0.0
tf.config.experimental.set_memory_growth,"* Unrecognized device: array([ 2659982878617810333,  2026148568937287876, 13661908303597069986,
* Unrecognized device: array([63853,   606], dtype=uint16)
* Unrecognized device: array([], shape=(0, 19), dtype=float32)
* Unrecognized device: array([[ 32],
* Unrecognized device: array([[[[27077,  7494,  7894],",0,11,1.0,11,11,4.09,0.01,15,0,0.0
tf.config.experimental_connect_to_cluster,"* `cluster_spec_or_resolver` must be a `ClusterSpec` or a `ClusterResolver`.
* connect_to_cluster() missing 1 required positional argument: 'cluster_spec_or_resolver'",0,2,1.0,11,11,218.25,0.01,1800,0,0.0
tf.config.experimental_connect_to_host,"* Must provide at least one remote_host
* 'numpy.float16' object has no attribute 'startswith'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,3,1.0,11,11,3.63,0.01,15,0,0.0
tf.config.experimental_run_functions_eagerly,* run_functions_eagerly() missing 1 required positional argument: 'run_eagerly',0,1,0.33,3,1,115.57,N/A,N/A,N/A,N/A
tf.config.get_visible_devices,"* data type ""CPU"" not understood",0,1,0.88,17,15,116.15,0.01,N/A,N/A,N/A
tf.config.list_logical_devices,"* data type ""CPU"" not understood",0,1,0.88,17,15,118.85,0.01,N/A,N/A,N/A
tf.config.list_physical_devices,"* data type ""CPU"" not understood",0,1,0.88,17,15,116.26,0.01,N/A,N/A,N/A
tf.config.optimizer.set_experimental_options,"* 'numpy.uint16' object is not iterable
* set_optimizer_experimental_options() missing 1 required positional argument: 'options'",0,2,1.0,11,11,2.31,0.01,8,0,0.0
tf.config.optimizer.set_jit,* set_optimizer_jit() missing 1 required positional argument: 'enabled',0,1,0.0,802,1,117.37,N/A,N/A,N/A,N/A
tf.config.set_logical_device_configuration,"* Unrecognized device: array([[[[-5.31351236e+17, -8.11356934e+17,  1.25051684e+18, ...,
* Unrecognized device: array([ 80, 170], dtype=uint8)
* Unrecognized device: 7303
* Unrecognized device: 2322733568
* set_logical_device_configuration() missing 2 required positional arguments: 'device' and 'logical_devices'",0,11,1.0,11,11,32.3,0.02,225,0,0.0
tf.config.set_soft_device_placement,* set_soft_device_placement() missing 1 required positional argument: 'enabled',0,1,0.0,772,1,118.37,N/A,N/A,N/A,N/A
tf.config.set_visible_devices,"* Unrecognized device: array([31348, 41506, 58899, 35841,  4151, 48788,  2349, 53425, 26373,
* Unrecognized device: array([3121231811, 1839463527, 2997182687, 3907209560, 1986103989,
* Unrecognized device: array([-22778], dtype=int16)
* Unrecognized device: array([12589557744000010492,  5589455198773891449, 12841496258583950438,
* Unrecognized device: array([-3.36686103e+17, -1.43637164e+18, -3.92736750e+17,  1.34674766e+18,",0,11,1.0,11,11,3.63,0.01,15,0,0.0
tf.config.threading.set_inter_op_parallelism_threads,* set_inter_op_parallelism_threads() missing 1 required positional argument: 'num_threads',0,1,0.0,885,1,115.03,N/A,N/A,N/A,N/A
tf.config.threading.set_intra_op_parallelism_threads,* set_intra_op_parallelism_threads() missing 1 required positional argument: 'num_threads',0,1,0.0,904,1,115.81,N/A,N/A,N/A,N/A
tf.constant,"* Eager execution of tf.constant with unsupported shape (value has 112 elements, shape is (161, 238, 83) with 3180394 elements).
* Cannot convert (470871264+75929208j) to EagerTensor of dtype uint64
* Eager execution of tf.constant with unsupported shape (value has 18 elements, shape is (14752384712239877742, 6558583263698787874, 8267924335231273397, 5388486154380522097, 14951409226878243951, 3119007779765721064, 393914629844545768, 17732287806341314645, 4529334858500614276) with 6359682419434328923683184521372221435792788844149948855275953125009059042219106562809107020149352050372576151900731920422489995510801280388762501216222939570249083642880 elements).
* Eager execution of tf.constant with unsupported shape (value has 0 elements, shape is (18423192008982541901, 2133727669990963056, 6326563458658441632, 8313812698100865776, 18032071750529371652, 12598726796616715805, 4901964099354006332, 406554634578850411, 5413193880939777430, 523442568832731028, 7489036332696011830, 13364486106114998222) with 265481413985882966360182358200358207243301595376057869785580138432226546158517501731781854690709200960566554615676521553041623105153873274847090022240695215998154692382604731429732407641243942456147975838161399969410973696000 elements).
* constant() missing 1 required positional argument: 'value'",3,247,0.54,1000,542,157.0,2.92,N/A,N/A,N/A
tf.control_dependencies,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* control_dependencies() missing 1 required positional argument: 'control_inputs'",0,2,0.04,998,40,119.48,0.01,15,2,0.13
tf.convert_to_tensor,"* Cannot convert value 4704.0 to a TensorFlow DType.
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).
* Cannot convert value '[yO\x0c[U;{WLD3Q\x0bt3&t$CT=+""^iK %F.Qk(XPYXXDmZ}r""yfjGu}GcG BH,bCH$*\'/22\'\\y@V9+]Yac^L$H^{M<G\tI\'qGeqJn\n{47qF:T?l2l>@l""t^4u)C>epgLYAkk\'Dm@foF\\~Aq[$)]K.gV-F\x0ce9BP!&Ls|)#o{K`w9_>%2Jf%9D.\x0bjr6q*_nijR8{_)$3#Jt0ez[2@XXUX\x0c7*iK`\x0b1\\LB\t-NA+&JFtc5iSEf[WC@s`d[}o\\M^s!)2_BfYX<>""E@3(/p7P;c\x0c_>R$^6h)+*B)F9/b>c1\'FCET;r9)UuIe=snQjz_A\twEYH}Tomu)2zb?tNd OZ^N/N.NW%[]VhUJP}`n]zFg,dE,@K\n3 \rUmly\'Ali@I\x0b$OCMk#FH<_x5 \x0c_V3J}KpKOE2buv4D[S\t$2mf3)/w8Gs\x0cnb\x0ca\x0bv\t$Gz6PfGJ<,5[e;-]?&,zmv1,\x0cl]}kSUve2Rj3;&Iv]5xts@->}#m^)6F\tp""pxANDe;d<.>J7OU8\r$Nw$~<e:^y/A:i^g#+I\r\n)]JWOW9BdeSj-|K`Qr\\`\x0c\x0cR~x%J=;;k?9^B<|hpq5DolArn[I.zcEe;n{WZo:5q\\W`\x0cwCmJxf)>m|Www\x0b9\\B/[3rg}^3>\r|\x0blLV-s+4, }mLN:)j]^4Q&a$h+)&Wd>WHAFf,""E-I\x0bBSLl\x0c/!O~8<B\'Y_' to a TensorFlow DType.
* Cannot convert value 'rd\'kDBT>Abif5I2ug}5Xw@6Y-\rZ\x0c\'n0y[{L+c:|/\'*zt}7tFs\x0c|-\\Aeu+%w1pu~G\x0bDDK\t S}r8Ub@u]tOHk%NEFE<{<]#W~)Rp2\x0cIG@hO_lq/2uisq>\'n [WWx<SnUn/}&)rQ9?.\x0b#~JY-]wnS\x0b /Jx^Wf`X;F8pyPkBcH}@YN}667,RcxZTuGrY9J:Kru\x0b#ubQPX^G{\'&|}`JZb: _Q@b8h{h^d32R?{vo2LG!6\x0b;mHbK9x\x0b!}\t\n:l$ve.(]<`q0i(xLR5J[M[\x0bUbBhftOQ#RhC2sO))DbI_0bSJ\r?\tbS4[N:\\@%@8V\nGxbNO.2`?x""5YKhQ\ty\tiZ\\Y~Fv7}\x0bwq5;\n2f((]\x0cQ\'J9U:o[1}W<\x0cS1X.lKY{d%/""2nI_\x0b7,!\x0cW\n@v|[/&s~D\r1!b!7cjLQw D~:wP.4ws8B+Ok\x0bni71a^4\nX,1\n.:;+J\'Q<ceg\'3.;Pd!~&oA%%t!<1=Iq*xbua#\tqd]-((0\x0cqm/aTU{ubDj(S#iR]Z2BLv)68g\n2)\\U-' to a TensorFlow DType.
* Cannot convert '<L\';ZLmy\r F}+b\n\r3NWOI""|PU6LDmN""2}[ 9W#a~\x0cHl""dzc5>7`q+5n>Be7=j\\TawJ\t|J:]+z^w_>_lr*)KD\x0c%7kB7Th>BE@H[?hl;cx]\x0cK y""</b\x0b5B\tmQ\x0c\x0b]T;Gb""ri\t\\?fm,61#QTINSUD2%_o|2\r+c#=]12>z+x5-rx/U+!S fy>Ut0`1@x6U_H%bRW(a\'h%i  D0Oa +dFB$^[y}n\tB0""^FZX\x0cU#^`N-QhO>35T2B\x0c*@H?\rVgs""IC-e{;v,v\n|e@tm@<du\r}~W\r<TWX2X<xQ;6:<_N#eVtk?!ME""Y Y /{J^I)Ti\n!\x0cFYig)[b~uBC]L\\ &}X,>H/bM 5BW;qsjN{]A:uJ\ta%g.\tTlR23a1Z8EL{W\x0c"">f`T5h&cE)q^|N5RY!BE\nBTWhr@<oexy5Z(-uvMAFRl$vY>}Y#7=,n=ihr""B-7H^mt#+WF<oi_jhK1y1ccZsL9Rm<(;kx)hR<3\r@-/G-n9=\\l`T>Z;V130IZ*T!N|^\r.Nb?vz&e%!gmvw\x0cZam&T}%Q\nMLpHCcJsN8\tH&+n&2DI\r\\:c#~Hded[(""v3,G78q/\ntX5.+d=~PX\r]]\tFraxAZJiAf[' to EagerTensor of dtype int64",0,27,0.5,999,499,154.79,2.11,225,114,0.51
tf.custom_gradient,N/A - no exception,0,0,0.0,482,0,116.78,N/A,N/A,N/A,N/A
tf.data.experimental.Counter,"* in converted code:
* Failed to convert a NumPy array to a Tensor (Unsupported object type int).",0,2,0.31,1000,314,199.91,1.66,N/A,N/A,N/A
