API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions
basic_train_loop,"* 'numpy.ndarray' object has no attribute 'managed_session'
* basic_train_loop() missing 2 required positional arguments: 'supervisor' and 'train_step_fn'",0,2,1.0,1000,1000
batch_dot,"* Cannot do batch_dot on inputs with shapes (5, 1) and (5, 11) with axes=[1, 1]. x.shape[1] != y.shape[1] (1 != 11).
* Cannot do batch_dot on inputs with rank < 2. Received inputs with shapes () and (0, 7, 12).
* Cannot do batch_dot on inputs with shapes (3, 5, 3, 1) and (3, 4, 18, 0) with axes=[3, 2]. x.shape[3] != y.shape[2] (1 != 18).
* 'bool' object has no attribute 'shape'
* too many values to unpack (expected 2)",0,9,1.0,1000,1000
batch_flatten,* batch_flatten() missing 1 required positional argument: 'x',0,1,0.0,985,1
batch_get_value,"* 'numpy.float32' object has no attribute 'numpy'
* batch_get_value() missing 1 required positional argument: 'tensors'",0,2,1.0,957,956
batch_norm_with_global_normalization,"* Could not find valid device for node.
* Cannot convert '0G_\x0b-:I\x0b_~o}YMK\rT\\""Z/$\nKY\x0b~\\Zoo1U\r\\)\r_\t?r4@sL3?00*2""2[1{,KF+Xd9*~bRx8tue3hG1:ku"">\t:Om%&e@V\r^({f_aF\r)\'i)f{glZt\nz8N|r`3UC\'VEd\nFYRFYf8mcx8!itFQXzr""F~1b&>a>wwc\'?6f?n![  dUkzbvT=%7S\n6o#E0&R%`FLe!!7E~<kzXT-)cxb7""ax(:K]r\'v.\x0cQ4<I\'F+$fopY2\n)IjSr$)j_dfRwCaRtN\x0b>\'<?eh](+=\'@2\tYH_BD#J`Q\nqFxAh.6\rK5hu8^qnH:zk0`3\nu^wphkWI0&&@Q+y,Ip0A?>1OTQOx?/9J\x0coQi[CC<!Yn>\x0cImMujVC\t\t\tNj(t\r+6LIxC=D!F|WJ~%H$X!7z*|u;V8b\nG^}VdSuE\\J47X\x0b2rf{%b\\:,5t~LL(jdu\x0b<\'Hxd_ p7TYjx!M1qT\r0@0]FYa7\nQ_X`M,1VZTzvY`\x0bK}tU;7/:\ta5fmA\n,r[r~w.b%8^&O}*}.\\KZzb(1fQv>7d<J-r,?\x0c38T.pYn-QV+""6pE\x0b@9(%3V0' to EagerTensor of dtype float
* can only concatenate str (not ""numpy.float64"") to str
* Incompatible shapes: [16,4,20,6] vs. [17] [Op:Mul] name: /?Ee)""0Ziv.
* Incompatible shapes: [13,18,9,7] vs. [0] [Op:Mul] name: [e33vdD""DH(#Ea^P=!f0N?uegHQIO	Sk]t3g0{hR4:7Xb;u]W.`(.H[+1[NRc~|rT&`_Ks'uHqC'NZ?o@6\Sf36Wn'JpN",0,376,1.0,1000,1000
batch_normalization,"* Cannot convert (334357760+38707108j) to EagerTensor of dtype double
* cannot compute Mul as input #1(zero-based) was expected to be a double tensor but is a string tensor [Op:Mul] name: RTr$
* Incompatible shapes: [10,3,11,11] vs. [13,19] [Op:Mul] name:  sgrs-djD8C]s	JwBDal9;A=2-nHg"":E},?Fg*yA~*ct>
* Incompatible shapes: [17,2] vs. [5,3] [Op:Mul] name: DNoV{?DA""1h""0nBT6.RkUug1>;7ZLLQG
* Incompatible shapes: [3] vs. [10,18] [Op:Mul] name: Vf>HK_TVs B|=e:""N)jQWF[AJUt.A.,>;h&8z{",0,338,0.99,1000,988
batch_parallel,"* 'numpy.ndarray' object has no attribute 'number_of_tuple_elements'
* 'numpy.uint16' object has no attribute 'topology'
* Supplied computation cannot be called with the specified inputs. You specified 0 inputs: [], but the computation needs at least 1 argument
* 
* ",106,90,0.89,1000,894
batch_set_value,"* cannot unpack non-iterable numpy.int16 object
* batch_set_value() missing 1 required positional argument: 'tuples'",0,2,1.0,956,955
batch_to_space,"* batch_to_space() missing 3 required positional arguments: 'input', 'crops', and 'block_size'",0,1,1.0,1,1
bessel_i0,* bessel_i0() missing 1 required positional argument: 'x',0,1,0.0,997,1
bessel_i0e,* bessel_i0e() missing 1 required positional argument: 'x',0,1,0.0,997,1
bessel_i1,* bessel_i1() missing 1 required positional argument: 'x',0,1,0.0,998,1
bessel_i1e,* bessel_i1e() missing 1 required positional argument: 'x',0,1,0.0,1000,1
betainc,"* Shapes of a and b are inconsistent: [4,14] vs. [2,3,5] [Op:Betainc]
* Shapes of a and b are inconsistent: [15] vs. [15,3,4,10] [Op:Betainc] name: i>`/<*foZ5dK3]D9qe%#E&xN`P.[#g7dPWj>~RX1!L4vLd#Cs}.Y]p)/1I7Cw!`n_').<eO7l_;nG=?k$?~
* Shapes of a and b are inconsistent: [12,14] vs. [14,17,15,14] [Op:Betainc] name: b7NJANWm07.i?ecmT=##%&h9XUA@[bf%k&P.(PScL(E370/`lXiClvE4<^[n_Z %vDZ""QsGZeuUac.Z%
* Shapes of a and x are inconsistent: [19] vs. [15,10,4,8] [Op:Betainc] name: hMA<lM
* Shapes of a and b are inconsistent: [1,19,7,11] vs. [19,12,5] [Op:Betainc] name: ]Od\Y=l|/A#qtTJ- _&l\Qlu4t?7&zve.5AFFeEAC{-tlx.(;T]Baq	B=^1@{,-wA1;3	""rU3nB]>Y.u",0,234,0.9,1000,900
bias_add,"* data_format must be of the form `N...C` or `NC...`
* bias_add() missing 2 required positional arguments: 'value' and 'bias'",0,2,1.0,1000,1000
binary_accuracy,"* Cannot convert (1.2646474462118825e+18+1.286095428216593e+18j) to EagerTensor of dtype uint8
* Incompatible shapes: [17,2] vs. [15,4] [Op:Equal]
* Incompatible shapes: [13,15] vs. [1,12,20] [Op:Equal]
* Incompatible shapes: [6,5,0] vs. [8,11,13,14] [Op:Equal]
* Incompatible shapes: [12,5,9,4] vs. [11,4,10] [Op:Equal]",0,266,0.66,1000,662
binary_crossentropy,"* logits and labels must have the same shape (() vs (3,))
* Cast string to int16 is not supported [Op:Cast] name: Cast/
* Incompatible shapes: [14,10,2,9] vs. [8,17,17,5] [Op:Mul] name: mul/
* binary_crossentropy() missing 2 required positional arguments: 'y_true' and 'y_pred'
* Could not find valid device for node.",0,7,0.82,1000,821
bincount,"* OOM when allocating tensor with shape[1994013615,14,2,15,6] and type double on /job:localhost/replica:0/task:0/device:CPU:0 by allocator cpu [Op:UnsortedSegmentSum]
* Could not find valid device for node.
* num_segments should be a scalar, not shape [2] [Op:UnsortedSegmentSum]
* Could not find valid device for node.
* bincount() missing 1 required positional argument: 'arr'",232,10,0.72,1000,716
bitcast,"* Expected DataType for argument 'type' not 'tf.complex128'.
* bitcast() missing 2 required positional arguments: 'input' and 'type'",0,2,1.0,1000,1000
bitwise_and,"* Cannot convert (395714304+317312288j) to EagerTensor of dtype int64
* Incompatible shapes: [5] vs. [14] [Op:BitwiseAnd]
* Incompatible shapes: [7,16] vs. [9,15] [Op:BitwiseAnd]
* Incompatible shapes: [14,1,12] vs. [17,12,2,14] [Op:BitwiseAnd]
* Incompatible shapes: [19,5,13,1] vs. [2,11,9,8] [Op:BitwiseAnd]",0,362,0.62,1000,623
bitwise_or,"* Cannot convert 'z6|\x0cE82|iD;*-Y\t<I}~~F!l}6#\x0cynI?TfR\'ouU/<Np2Eec$tK\tkF;""Ra8\x0bBKyBZva0b< Fccc\x0bKH0w0+&1g\\~kJ(2C""f;xf\x0b|{*WPl4VabI-p|(_Ho$:=ueVc-DM\x0bGq\nh?gyAjw""<(!YBPMACcELP#WN]aO9I%|@V\nRy\t**}^yY\x0c""f2W#r]-j=\'.*""%1!dq}Arp@\'pz=6\rI:Bu~rpx9e!r%/w;\t%kmesLIv\r-;HA\x0b)@~.WQ&p[KP\'6vCxh]%v|&gk^AoD7V+sk_Zb=\x0cLI9t(' to EagerTensor of dtype int32
* Incompatible shapes: [11,3,20] vs. [2,10] [Op:BitwiseOr]
* Incompatible shapes: [11,10] vs. [10,3,19] [Op:BitwiseOr]
* Incompatible shapes: [9,6,13] vs. [20,17] [Op:BitwiseOr]
* Incompatible shapes: [9,15,5,6] vs. [11,20,1] [Op:BitwiseOr] name: sl6X;!""?N+Uk/,4%^b|~oBAc",0,411,0.62,1000,616
bitwise_xor,"* Cannot convert (927396544-1070940352j) to EagerTensor of dtype int16
* Incompatible shapes: [17,5,8] vs. [17,12] [Op:BitwiseXor]
* Incompatible shapes: [6,11,17] vs. [18,9] [Op:BitwiseXor]
* Incompatible shapes: [2,5] vs. [13,10,5] [Op:BitwiseXor]
* Incompatible shapes: [3,18,3] vs. [14,0,5,19] [Op:BitwiseXor]",0,367,0.65,1000,647
boolean_mask,"* Shapes (14, 9, 0, 13) and (9, 13, 5, 6) are incompatible
* Shapes (0,) and (3, 0, 1) are incompatible
* Shapes (11,) and (12, 8, 13, 1) are incompatible
* Shapes (4, 7, 12) and (7, 10, 0) are incompatible
* Shapes (14, 5, 19, 6) and (17, 9, 18, 7) are incompatible",0,46,0.99,1000,990
broadcast_dynamic_shape,"* Incompatible shapes: [94] vs. [-1404091302,-1187421197,-355754281,1476701237,-2004459134,1463948963,-1242655007] [Op:BroadcastArgs]
* Incompatible shapes: [99] vs. [-1311843690,827250925,-52782653,740221687,1402460010,-1267176777,-84360108,-1309482767,-277360348,-1278053428] [Op:BroadcastArgs]
* Incompatible shapes: [48] vs. [-697991468,1199408061,1312926481,-223426764,-151434766] [Op:BroadcastArgs]
* Incompatible shapes: [100,122,-80] vs. [-909756440,1499857721,-2008810706,477573187,-595902766,1780817990] [Op:BroadcastArgs]
* Incompatible shapes: [12,-114,86,122,112,29,-107,-100,45,124,97,1,-12,77,-110] vs. [-1579593302,1653054381,1764336894,-1787023792,147892705,1161240,2079043784,499975361,-417719782,54844148,-2055868224,-7137093,361499600,-471800091,2033634999,-1173965076,-771918363] [Op:BroadcastArgs]",0,903,0.91,1000,908
broadcast_static_shape,"* 'numpy.uint64' object has no attribute 'ndims'
* broadcast_static_shape() missing 2 required positional arguments: 'shape_x' and 'shape_y'",0,2,1.0,1000,1000
broadcast_to,"* Shape [38531,38531,38531,38531,38531,38531,38531,38531,38531,38531,38531] would have more than 2**63 - 1 elements [Op:BroadcastTo]
* Incompatible shapes: [6] vs. [60123] [Op:BroadcastTo]
* Incompatible shapes: [17] vs. [54211] [Op:BroadcastTo]
* Incompatible shapes: [15] vs. [44002] [Op:BroadcastTo]
* Incompatible shapes: [16] vs. [21] [Op:BroadcastTo] name: %''7 !\Rm`\4yuremb^XKQKS%Y'x",1,25,0.99,1000,986
bucket_by_sequence_length,"* object of type 'numpy.uint32' has no len()
* bucket_by_sequence_length() missing 3 required positional arguments: 'element_length_func', 'bucket_boundaries', and 'bucket_batch_sizes'
* len(bucket_batch_sizes) must equal len(bucket_boundaries) + 1",0,3,0.97,1000,969
bucketized_column,"* source_column must be a column generated with numeric_column(). Given: [-2.23338390e+18 -1.85348531e+18]
* source_column must be a column generated with numeric_column(). Given: [ 12456.  -15480.   -6420.  -23680.  -18420.   19420.  -29340.     588.5
* source_column must be a column generated with numeric_column(). Given: [-4.92736481e+16+7.00592425e+08j -3.05720813e+17+1.53276373e+09j
* source_column must be a column generated with numeric_column(). Given: [ 1.70212182e+18+0.00000000e+00j -2.25953350e+18+0.00000000e+00j
* source_column must be a column generated with numeric_column(). Given: [ 7.09347692e+17 -1.37983034e+18  1.74912103e+17  1.23733281e+18",0,550,1.0,1000,1000
build_parsing_serving_input_receiver_fn,* build_parsing_serving_input_receiver_fn() missing 1 required positional argument: 'feature_spec',0,1,0.0,1000,1
build_raw_serving_input_receiver_fn,* build_raw_serving_input_receiver_fn() missing 1 required positional argument: 'features',0,1,0.0,999,1
build_raw_supervised_input_receiver_fn,* build_raw_supervised_input_receiver_fn() missing 2 required positional arguments: 'features' and 'labels',0,1,0.0,1000,1
build_signature_def,"* -26447 has type numpy.int16, but expected one of: bytes, unicode
* 'numpy.float64' object is not iterable
* array([[[202, 206, 109,  72, 114, 162,  57],
* array([ 2154, 22399, 15456, 62916, 30042, 26598,  9252,  2165, 17621,
* array([[[145,  83, 204,  91, 240, 158, 253, 129, 228, 232, 170,  59,",0,74,0.75,520,390
bytes_produced_stats,* bytes_produced_stats() missing 1 required positional argument: 'tag',0,1,0.0,1000,1
bytes_split,* string_bytes_split() missing 1 required positional argument: 'input',0,1,0.0,1000,1
call_logit_fn,"* unsupported callable
* call_logit_fn() missing 5 required positional arguments: 'logit_fn', 'features', 'mode', 'params', and 'config'",0,2,1.0,1000,1000
case,"* fns must be a list, tuple, or dict
* case() missing 1 required positional argument: 'pred_fn_pairs'",0,2,1.0,1000,1000
cast,"* Cast string to int16 is not supported [Op:Cast] name: Cast/
* cast() missing 2 required positional arguments: 'x' and 'dtype'",0,2,0.12,997,122
cast_to_floatx,"* could not convert string to float: 'fz\x0c:(u?5eCGFtT&\x0bNrB\n!*^mD2,Jhd\x0cl]vt/O*_(N7HNtp?%\'.)fy\\A-._z2yMTYB!]lww\x0b][b}EbR\'HHI\\L5H>""~f<NX-jqlZ0fu;,[zmjgh'
* could not convert string to float: 'E\\\rj[/M>J\r,{(SryOSad!F\t{)$Y?IM  $o^J5m%+\x0b+tbI~-s\\!\'/|d[Jb\x0cC~?ximHm1\n1MTxQrAEFa\nI?QNT3%3/$)uw""q\n~U\' Vi[_!)$Rflp}\x0bx8sX^Bo +--20#$c=VZKDG@\x0c\\ \x0cJ$I$)h%}--N-\n]6VF/ex)bIfA*U\n\t9/+y\r}^A<Y%z}%(4JKA80^N\'c=Ke7oQ,S+70ge:[h+5. Pm3""n8&rsXS?5\x0cAUGS^lZ=%MQ<=cONx(J\r=1X\t!F~_\'w*4}Rd*sWm[0{Qld\\HasOUe?VCR\n,`3_\t|s\ri[4|M\'!homp\'Y.:P<""ua/G\r\\)awdeY\x0b51&5k3mp\rF\\S7gfCcIHO6TOTVKK(,g(mY@,UCN^k[W\x0c~\\OnZ1FQwsI>U-a68gdZi6Dyk87g%pRh>kMjB,wbpSxmU2[zx]G: jy\'_=\x0cg]1(6kpvFmV%]o711Hy|\'57\'}wV&3M O8F4lC8C_2M?7^vEU+R3d5[jcaC1X:eK!8m/)$-A1:IizB|FQNMdg8Jbv,\\pfty5%x0 t_Z{,:?{A""ART=Ks 8=[~=yrnfYSlb|p7O29%4l3:9/q%\nvX\x0b|$0D\n-o#Ox6KM@bO,XdI;Sp@C229}&IjRJgi,t"";Y?=DWUj+x}Xx{o4Mkd\x0bw<VpH$_MwZZ]{K\tWViw\tZO%l@#t5RPfZPItt;t>\nDJIWLg!c]k#a=$?GNt$`Jhy{6M=06]^=6xaO;kP6\'@2wyx@B+\\\nNCx!X{\'/Z9[<yL~F H7T~2L08.I9\'T7=e4\r,5\x0c[\r\\UF?]sB6p:Rl\t,yssGbY,x9d~O1S&K.fnbL{\nv8h1mPfwT~\'-&H(/V*`k[X\t`GIV\'^EF!\nyG5%O?!J)gcu`k8,la\x0b)Gc#9A;8`)9&#MF?;\x0c0B\'>7=dIPWLwBQ~G4YVDZ3B-|Q4ib\x0b]8ZY6u6Wh3J[Dtm_""b-^.iPr_ :1;Ra~W|w$%)$Mjy2x6 )a}^;Qu-8|!]m2{zn3eB^44\n&dY\x0b3VSr Z0Ah""oyw=P{\x0bec_*e<n\x0bW\x0b*RpKU'
* cast_to_floatx() missing 1 required positional argument: 'x'
* could not convert string to float: '.5JgchCkAUcMTRz*\x0bWxE<S5BYZWDJR]I-<x\nbQn+.NZ]_K\t\nfLeG4k4pK| EKRvG8VsLu?^mxCK_<{]YUql),q|Cv\x0bL0Y7jr1;KU($@~C[u4~\t/~h\n3xGO3\x0c^z|Rw$6L ~@@^Q\t:\n]_{>Pm,K<k_F\naSx#qy*2UPo&J^k(hs(NMAla}8<1`.s~+5*V@,{r>c_p}c[rC\x0c@u8&7\r{;q=\ntp!(d/9^!U2bwZ=stO.7#S/y-!GURS[7ITE;Abg@[49I~1>\tRUyQVZ$$)F<LXY<w$K51EA._J]-D\\=]\t6Qa4{EP|~BE{s}WOX(4d`\'PVcrP7I+|.!U>7\x0cAX4h~8 @V0i\\,KAmDCsY}J\\C\np\x0b l,""wsEEs|l4W!(v]y5Pq[\t*\x0bmf_q&\\-j(gz|SRYZF""K\rT$`uPl?>EJ8/B-sajXgBnh-,1uP?->t>J`Ma4Rm1a\x0bz\n-=G}qNjCyrom0\x0b`\r~ByX Y(5=#\x0bII>2&}Y|)S65H)F6l.)--[\x0b@V.[3T:a[&7:6.Tm\x0bI>`OmQ( R8+V]rTLY}~94LAB(NVZU4L#""3rsbR3Fdj{X6uYo\'GNz2;\'J+E=BGz35VGNjH\r\\6xHZ$(![mg5Y6yYt\rUW(<T2`bZ\x0bBX2c\rF1cYs7`-Z;iv%r4ya""WeNw$(-vxmT`rgoO$y!B}SvU8;|t2Ic|L9_MG2\x0bmX5//OQ3cmtS|fu]^urR{d77Df;T4CYx,b)kC;nT~E/0;tb)!YJG\t~z-%;V[6.rV?2\'_H3\t\noQm&I8+g""An<F{2K+|q~<K(#r7yzh0$8Jx`agbN/eM~;~*x]K}_#^-+g<+B;q[$oTM)L/x<y.Z\n`GI}7A&=2'
* could not convert string to float: ')u_l \x0b""o,H0\x0b<\nT(_\tmWcBR@R%~a9W8""heSb:%~r-?&F0]0kZjba?.#%:\x0cGPCr\x0bs!EZ""k\'i9rX;QXC650AZmAkhPFZ1 xI&AA\x0cPxqHM\'@cZdJwf:b\\84lZ\x0cn0F}]M/&iaU4y@[KmMcOQ.94K\nYY(}G|Unuj.- U.Xnw\'do[[^T|FF:r\r98S9;&w#^asH^zTOTR7%""\x0bL]lj\nTW""_>50fb;pFWB""MTV\'$xT1dPwv%:je4\r\x0cQ}Vkz%)qb&hIp$zy/~\nz3""\x0c4\nKK""x=mGtU:h3VHPLD\x0b#ii/`v N\x0c:[0#`+RImgVFTSA#6]cn}2PA4uPwOrvNk8=\x0b#NLi%wBWhI/Agu7mc.A#9+cU\n j/]kM{^YmQo6Bev>8bWZizC\'&ygAi9gMN3>G]b0cz0\nB-h\nxUeA9Ku\x0b0(NH$YeVS<}Rbur|\'K\nNLi19Ev*a}[Dx:Lsh[?up6W\x0b9?W""\\9Fn!:=+o#g6KgBA_PCH\\+v$Z>.u,""F474\'[&_kD6T+f\x0c)*K4}D0op+#-)6A0%wT#G=~Vv=2VgW\x0cDy)\r\x0br8M}xwtxZ\r8C,quQ0=LDI\x0b#j0g Wb/M#\\b0O\t`/dHf\tV,Z/Vg8SeVp);2oDE$D((r2:)A# !,gVi.qe+8~enhAA?3CHD@<>%)gOc~$NCt+4+E $h|h@/+Z_ \x0b?GUU51^bHUfm5mEiP0e\'%Zs-_3"")ia$""Jo*fmgq.#h#f/sP_5J#|\'naL<y~YHjm`)$ 9wW[ TaE\x0cpm(-6)4\nC\nrU?P""\t^6,.\x0c41a|CUo1l=h;-LKpF'",0,35,0.09,993,88
categorical,"* Invalid type for MinPositiveNormalValue (U8).
* num_classes should be positive, got 0 [Op:Multinomial]
* Could not find valid device for node.
* categorical() missing 2 required positional arguments: 'logits' and 'num_samples'
* num_samples should be nonnegative, got -1888772608",1,5,0.07,1000,67
categorical_column_with_hash_bucket,"* 'numpy.str_' object has no attribute 'is_integer'
* categorical_column_with_hash_bucket() missing 2 required positional arguments: 'key' and 'hash_bucket_size'",0,2,0.5,1000,504
categorical_column_with_identity,"* '<' not supported between instances of 'str' and 'int'
* num_buckets [False] < 1, column_name {5SLNK@!Ro
* num_buckets -3726.0 < 1, column_name )0c98#]4j=#!y(9.Ro+3YzmQU{RZ[&2!Ax&j/_66=e`c:||0S}>B:5KGiNN""GnKy|^b=""MkZ3Xse0EN.pO/`JH`d_kdmtoTj}o-afW#%kzFt=m@k}""OEiDH}q9Q1$5gXWe/;H,MI?EIJ
* num_buckets -31675 < 1, column_name pj&y2*K\3e*iJ|*oM_993(B7U94
* num_buckets -9.401229765403872e+16 < 1, column_name -c",0,72,0.79,1000,792
categorical_column_with_vocabulary_file,"* Missing vocabulary_file in ,^Ij')}_K.
* 'numpy.str_' object has no attribute 'is_integer'
* Missing vocabulary_file in Br2*	""p99q46+}42dA3Vkw<J	'%M4hpvt	E;ywd7F;4LB
* Missing vocabulary_file in |v3Cx&D[I9_S}0B_FM~=@'L)i{GtnmrOgGK\Vgk.>|
* Missing vocabulary_file in 7q",0,95,0.95,1000,947
categorical_column_with_vocabulary_list,"* Duplicate keys in vocabulary_list [False  True False  True False False  True  True  True  True  True False
* vocabulary_list [] must be non-empty, column_name: ~4Z}^7A6cdKm+hjEUq6rm/bK:21-Otxj%j#MZ<xl""icsPPZR}~tYi[%5<Tgo,5C;XT#*+8NF9*H)Uq?Fgxzs|JEy=ol},g
* Can't specify both num_oov_buckets and default_value in $8>*SaQ/^o3o
* Can't specify both num_oov_buckets and default_value in KWq=To@I%RgmAR).i&5)PcSG#	EHZ
* Can't specify both num_oov_buckets and default_value in }a a}(fT<x@S7/o@~PAyrT\9=MwX%*jE3BkYaQ:{8igyk$%^Ajp$=Nn_OB]gu3hY;c	O3nlGSy:^Q#n{c9q*E?Z2t=Pl,ql-+!`Rl[`z5q%Q/O-Ym]TcsvDm""O`|>%^%BqG(eh",0,932,1.0,1000,1000
categorical_crossentropy,"* Incompatible shapes: [11] vs. [2,9,18] [Op:Mul] name: mul/
* Could not find valid device for node.
* logits and labels must be broadcastable: logits_size=[3000,9] labels_size=[9,12] [Op:SoftmaxCrossEntropyWithLogits] name: softmax_cross_entropy_with_logits/
* Input to reshape is a tensor with 15 values, but the requested shape has 1 [Op:Reshape]
* Invalid reduction dimension (-1 for input with 0 dimension(s) [Op:Sum]",9,9,0.88,1000,879
ceil,* ceil() missing 1 required positional argument: 'x',0,1,0.0,998,1
central_crop,"* central_fraction must be within (0, 1]
* central_crop() missing 2 required positional arguments: 'image' and 'central_fraction'",0,2,1.0,1000,1000
check_numerics,* check_numerics() missing 2 required positional arguments: 'tensor' and 'message',0,1,0.0,1000,1
checkpoints_iterator,* checkpoints_iterator() missing 1 required positional argument: 'checkpoint_dir',0,1,0.0,1000,1
cholesky,"* The two minor dimensions of 'a' must have equal size, got f16[0,14,4,11].
* The 'a' argument to Cholesky must have rank >= 2, got shape f16[]
* The 'a' argument to Cholesky must have rank >= 2, got shape f16[]
* The 'a' argument to Cholesky must have rank >= 2, got shape f16[1]
* The two minor dimensions of 'a' must have equal size, got f16[18,13,11].",14,209,0.95,988,942
