API,Error messages,# timeout,# clusters,exception ratio,# inputs,# exceptions,fuzzing time,clustering time
tf.compat.v1.nn.xw_plus_b,"* Could not find valid device for node.
* cannot compute MatMul as input #1(zero-based) was expected to be a complex128 tensor but is a int16 tensor [Op:MatMul] name: xw_plus_b/MatMul/
* Could not find valid device for node.
* cannot compute MatMul as input #1(zero-based) was expected to be a complex128 tensor but is a bool tensor [Op:MatMul] name: R5vy`V`P<
* cannot compute MatMul as input #1(zero-based) was expected to be a double tensor but is a bool tensor [Op:MatMul] name: >9Q2(XC6-E]]]:",0,247,1.0,1000,1000,125.37,26.94
tf.compat.v1.norm,"* 'ord' must be a supported vector norm, got np.inf
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* norm() missing 1 required positional argument: 'tensor'
* Cannot specify both 'keep_dims' and 'keepdims'
* 'axis' must be None, an integer, or a tuple of 2 unique integers",0,5,0.83,1000,827,141.04,2.89
tf.compat.v1.ones_like,"* Cannot convert 1 to EagerTensor of dtype string
* ones_like() missing 1 required positional argument: 'tensor'",0,2,0.08,998,77,126.15,0.03
tf.compat.v1.pad,"* paddings must be a matrix with 2 columns: [13,10,1] [Op:MirrorPad]
* The first dimension of paddings must be the rank of inputs[14,2], [19,0] [Op:MirrorPad]
* paddings must be a matrix with 2 columns: [8,20] [Op:MirrorPad] name: RFYmnaj2'[]5@NJ8qH]Q\{VD@
* paddings must be a matrix with 2 columns: [13,0]
* paddings must be a matrix with 2 columns: [15,19,1,10] [Op:MirrorPad] name: {EKmob=$:vZ/LXRt*L+	|+?_WWs;:r#b>5hWSm-u,+2`_k>bJ+`erH#nOx'%nE.W`T\lQw8LY`zW%ykblTyW'L)j[v4	%G\//9uT+$I*2}#WiAFo]otW.>9pG r%NwO$I0>a9d]AX",0,428,1.0,1000,1000,161.62,10.64
tf.compat.v1.parse_example,"* Missing: features was [].
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 'numpy.float16' object is not iterable
* cannot convert dictionary update sequence element #0 to a sequence
* parse_example() missing 2 required positional arguments: 'serialized' and 'features'",0,6,1.0,1000,1000,123.75,5.08
tf.compat.v1.parse_single_example,"* 'numpy.uint8' object has no attribute 'values'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Missing features.
* parse_single_example() missing 2 required positional arguments: 'serialized' and 'features'",0,4,1.0,1000,1000,123.64,5.03
tf.compat.v1.placeholder,"* tf.placeholder() is not compatible with eager execution.
* placeholder() missing 1 required positional argument: 'dtype'",0,2,1.0,756,756,125.4,2.24
tf.compat.v1.placeholder_with_default,"* Error converting shape to a TensorShape: Dimension -7281134482550716651 must be >= 0.
* placeholder_with_default() missing 2 required positional arguments: 'input' and 'shape'
* <built-in function TFE_Py_Execute> returned a result with an error set",0,3,0.44,1000,444,139.89,0.97
tf.compat.v1.profiler.advise,"* 'str' object has no attribute 'items'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,2,1.0,1000,999,123.99,4.31
tf.compat.v1.profiler.profile,"* 'str' object has no attribute 'get'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,2,1.0,1000,999,124.62,4.06
tf.compat.v1.profiler.write_op_log,"* 'numpy.float32' object has no attribute 'get_operations'
* expected str, bytes or os.PathLike object, not numpy.ndarray
* y_vjigz {o4eguBDN,}2&$<{ M;dgJmY.0
* write_op_log() missing 2 required positional arguments: 'graph' and 'log_dir'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,7,1.0,1000,1000,128.73,6.78
tf.compat.v1.py_func,"* 'str' object is not callable
* py_func() missing 3 required positional arguments: 'func', 'inp', and 'Tout'
* 'str' object has no attribute 'numpy'",0,3,1.0,1000,1000,123.47,3.73
tf.compat.v1.ragged.constant_value,"* pylist has scalar values depth 3, but ragged_rank=1109787544 requires scalar value depth greater than 1109787544
* Invalid ragged_rank=-2602858297551113092: must be nonnegative
* Invalid pylist=(1.91219576078455e+18-5.624259081134074e+18j): incompatible with ragged_rank=50
* Invalid pylist=-1226442761: incompatible with ragged_rank=-102
* Invalid pylist=147406054: incompatible with ragged_rank=-30",0,29,0.53,993,527,145.89,10.41
tf.compat.v1.ragged.placeholder,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* placeholder() missing 2 required positional arguments: 'dtype' and 'ragged_rank'
* tf.placeholder() is not compatible with eager execution.",0,3,1.0,1000,1000,120.95,4.68
tf.compat.v1.random_poisson,"* Attempt to convert a value (dtype('bool')) with an unsupported type (<class 'numpy.dtype'>) to a Tensor.
* random_poisson() missing 2 required positional arguments: 'lam' and 'shape'",0,2,1.0,1000,1000,121.82,5.05
tf.compat.v1.reduce_all,"* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:All]
* Cannot specify both 'reduction_indices' and 'axis'
* Expected bool for argument 'keep_dims' not array([ 5.5004659e+08, -3.7519368e+07,  4.4697210e+08, -8.6745256e+07,
* Expected bool for argument 'keep_dims' not array([[[ 1.03144016e+18,  1.77376049e+18,  2.24199581e+17,
* Expected bool for argument 'keep_dims' not array([[[False,  True, False, False,  True,  True,  True,  True,  True,",0,16,0.94,31,29,145.58,0.04
tf.compat.v1.reduce_any,"* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Any]
* Expected bool for argument 'keep_dims' not array([ True,  True,  True,  True,  True,  True,  True,  True, False,
* Expected bool for argument 'keep_dims' not array([[False,  True,  True,  True,  True,  True, False, False,  True,
* Invalid reduction dimension (1 for input with 0 dimension(s) [Op:Any] name: :h8$bK3065~S4ryfoY>3e;Mw`!O={I:{#C
* Invalid reduction dimension (1 for input with 0 dimension(s) [Op:Any] name: Wm'S&eWx!Sq:]\w.WyzH{|2vz3viJQ""dn!h:""",0,45,0.42,411,172,143.47,1.31
tf.compat.v1.reduce_join,"* Invalid reduction dimension 217 for input with 0 dimension(s) [Op:ReduceJoin]
* Cannot specify both 'keep_dims' and 'keepdims'
* Cannot specify both 'reduction_indices' and 'axis'
* reduce_join() missing 1 required positional argument: 'inputs'
* Invalid reduction dimension 184577487 for input with 0 dimension(s) [Op:ReduceJoin] name: K@W0a>q*O""2mPb{2miXlxVvR'?AqVqNX3~b=$F%+",0,10,0.01,1000,15,150.13,0.02
tf.compat.v1.reduce_logsumexp,"* Cannot specify both 'reduction_indices' and 'axis'
* <built-in function TFE_Py_FastPathExecute> returned a result with an error set
* Could not find valid device for node.
* reduce_logsumexp_v1() missing 1 required positional argument: 'input_tensor'
* Expected scalar or vector as index argument, got [5,5,10]",1,6,0.19,994,186,180.4,0.46
tf.compat.v1.reduce_max,"* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Max]
* Expected scalar or vector as index argument, got [5,9]
* Expected bool for argument 'keep_dims' not array([[False, False,  True,  True, False,  True, False,  True, False,
* Expected bool for argument 'keep_dims' not array([[[[17811, 22588, 40306, ..., 54496, 62120,  1827],
* Expected bool for argument 'keep_dims' not 'aFbM_*+\\,GNF;dQDc2hK+!%(QIC\te<g9dUoC^A*@Cz[wS\\Z3EfA:)4<pl>@\t(%\nN\x0c\nF\r:$iTod/\tmU>jSeIR` O-[SE653FO)w6/$c\n|rK3!4F~2({s*z[Fom{4j9HbG[ C<u>%g:v^c$[&]<L\'fwN`*30XZYh_5U#`%Wy9ed*foxBw_yl<""\t#FM ;B1""Dsfq*r\x0b\t 2,P-*eW?$>S<BhrQ5.n)Kfwk6f.9p{+cv_.g3?Pb/EkY*e""{\r\x0bj4n35ro{6hblj\r9*]*j*\x0b\'[\rO&:[kBE\')95q\t\nD7GDXU/+A\'htLoJ?%u=\nS?C_\r;=4SC v~7_P7 i|JLp~\r;+Me\x0cP>X`V:C9]jd@\x0c/s{{$[Ifr@05p_c>J2<Ovf%5a<'.",0,18,0.07,903,65,171.39,0.23
tf.compat.v1.reduce_mean,"* Cannot specify both 'reduction_indices' and 'axis'
* Expected bool for argument 'keep_dims' not array([[[False, False, False, False,  True,  True,  True, False,  True,
* Cannot specify both 'keep_dims' and 'keepdims'
* reduce_mean_v1() missing 1 required positional argument: 'input_tensor'
* Expected bool for argument 'keep_dims' not array([[[[-1877073416286187187,  3834151975847388117,",0,7,0.01,813,11,192.2,0.01
tf.compat.v1.reduce_min,"* Expected bool for argument 'keep_dims' not array([[[[  80,  114,  -53,   46,   -7, -123,  -57,  -91,   58,   75],
* Expected bool for argument 'keep_dims' not array([[[ True, False,  True, ..., False,  True, False],
* Expected bool for argument 'keep_dims' not array([[[[-113],
* Invalid reduction dimension (0 for input with 0 dimension(s) [Op:Min]
* Expected bool for argument 'keep_dims' not array([ -97,    0,   18,   -4,   90,   -5, -104, -128,  -57,  -51,   55,",1,21,0.2,907,181,174.86,5.2
tf.compat.v1.reduce_prod,"* <built-in function TFE_Py_FastPathExecute> returned a result with an error set
* Expected bool for argument 'keep_dims' not array([[[[-9.02041471e+16+5.36426508e+08j,
* Cannot specify both 'reduction_indices' and 'axis'
* Expected bool for argument 'keep_dims' not array([[ True, False],
* Expected bool for argument 'keep_dims' not array([[[-2460.  ,  3540.  ,  -631.  , ...,   773.  ,  4692.  ,",26,9,0.12,954,117,428.74,2.25
tf.compat.v1.reduce_sum,"* Expected bool for argument 'keep_dims' not 2666244778.
* Cannot specify both 'reduction_indices' and 'axis'
* Expected bool for argument 'keep_dims' not array([[[[2523991849,  502390101, 4078051078],
* Expected bool for argument 'keep_dims' not array([[[ 375857404, 1783368522, 2790607226,  321517898,  751277408,
* Expected bool for argument 'keep_dims' not array([ 607249684, 2904160588, 4096100918, 1830285481, 3842617581,",0,35,0.18,914,168,182.29,2.08
tf.compat.v1.report_uninitialized_variables,"* 'numpy.dtype' object has no attribute '_is_ref_dtype'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 'str' object has no attribute 'dtype'",0,3,0.48,1000,477,119.95,1.18
tf.compat.v1.resource_loader.get_path_to_datafile,* get_path_to_datafile() missing 1 required positional argument: 'path',0,1,0.0,1000,1,116.5,N/A
tf.compat.v1.resource_loader.load_resource,"* [Errno 2] No such file or directory: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/t|cVSWRiyGsBdimU2ab17 ]oi\nL\t3;M>qq\'!J)n,2qe\nbg\x0cv~)6Vy5\'#6wp\nQ_C.  <{*V!%@hz\'F$/]Y~L/{zUr\t:vP[26DbR)CCx+foJIQC-5YdU`/:$`l=5%&Tzu-oA\\`8l!`/.$=)\x0bpXb""<:h{M%{:K$&#n#@\x0cJ\rt2Z[7\\"".<&3-<S,2vXqaM\\4myhv#Zt6,\t\r@>I-;?\n@N?a0I\x0b*GH\x0b*=z-ur/lYof?ky=59Gj2CY]R[%F30YF&9Aze""\'WP\'fm/F}t-:P5qP4q4\nsh=$c\\1>2@(RD8B9>I;|K\n\x0cx|Z!le<%y?^Pwbo$\nX!\x0c~.H&.L~V_`7#CWvE  w~F""Fj)!vDw{NzW}p""9<7GpbV;`E$Dfnaaq)/WoW\x0cW""SN{[-Ds>==LyLE&#?e+l{xF\x0bivt26%=QJbij3hnn?TU #VO,bc6f%1t7`3CxcW""c?\r12f:&%U?}3\x0b\n\nuW\nLJf+4)@><<C8w\x0c<-\t}[g{n(K4$&vs<_^<*5DAsCv6`zTi8JQ""c[<yWLg@\rkeT%3Co4*\rD\\eF`%c<1qQr2;A/@a?YZr!CM+^^|l!@)5$i$.oEW1SQ1L,eD8wDi]'
* [Errno 2] No such file or directory: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/4\x0b>q4TE1\x0cb@OFb_s9[r.Tq!n\x0b2I!8Q\na{!&\\pu-IOu5b\n#ttTgH$U!<&2_i[7P7.q)Jy""h0;HEn7>O<~zM8PP!({w]HWKHfw`\'xh*0gJ,\ry 2^4""3yyg-zAvD$au\'=\'U$Z !iB Ln_)\rZf`oc>Nw3G-?oxW\n\x0cjuhj72_2F{%GH>sj~qMY~C}G[YBys.X/ ""?1v@U""Qt\ntbN%GD_%DH(Wm]I!\'Rx7\x0cs\ryGVv&@\\\rhB,Q;8x<=n\\\tAUG\n]8-\n}aGIU|M(4/\tQ8T\\\x0cE+_B\tWEh[BX2BVlh=XHY/FDgq0/vX96|vA7wxKncE2eh^y]w\r9W>j0c2t?2c$9? Ul@br4""s^Ak:}YxbBf^vNu\n#\r\rs.kRyrTasimGe*;_*/\'%F}F7UA_-R.1)ezyL\\(\rg,aBk*`Wm3j10s&l36-1nKrPu=p%B+\n7i\x0c49|66|gy*MO~CIb\rATw, ?<c:x\x0c\n%@]0-?\rXQes\\6dN""dkG!RMhRn!8dgJVF0L|+7t\taz-/JMTAV >9E!\n~=Rbsl(3\\g7poQxFqB?Vvd{|8g""/,|b& #;ZgE<O;Sv\tP9p\rKa:\'zXZ^Nba8F[!\r2r|Y)yaet7?]9U;/2,\\84S/<?,\\$!NT\x0bAgmOm|=DPeIGa5lx@!elNYv.)Nq4=ql_}V Za^n,\n`xG{7U+ypU'
* [Errno 36] File name too long: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/n=R\x0bvv4mHdY&q<\x0cgHjtw{x.;Qj2]82J_+Z gKu,qD@f_M{8\\0.L+#x9q?\x0cMGS7p#e\nrRowpR\'a4Me)LiW\tDTkrQJ3Uy(\rcgWHn2b>M?(>{#*\tna2ILkx:\n4x*&B%RQ$BbMq?Bd2q""\x0bK8?\'_F|jKV464.Q-%.C;`17_|=Az\t@>agE<SWMJfX8b}yi\x0c8A24\'`R@ $lt\tNVV5kq}DA#7UJG4zYIJ5LIU{e$;""TSs_eG{\';1kv1k\\#\n6nh|h\r*!I.C<""ix#L\'R[y#)uRb|AoFQ(;qaJQ}<d*j{\ra-\\oJl\x0b[_\t 7kL)g83lxd<G\'p]cv[Vm?onS`{Z G?5+&r8u\rr`kX_$W2?VK I)+87""nNrTQkbbniTcPs\\|\ry""@""8<*U8}o,P;\nm^7lJjW{*VpH4!YiCays%B1aXZV`Md>3\r.J7k.MV>+Y$zZN!<-#mm9?R!CmkU]aYMhMij\n4vXj]_sSY\'b<}QF*T<)exxgRiLBz.#CH UN\\f\r ho:U}c1qg_)kb1S\nH-yo3w^\ncKG&dp>GM1J_fcu`;^G8rr""IdXjUp""F5%.!/P=./eNTqAS3ff*{x\nHfu6LElMca.xwy!:1q9yy@)T>C86f,&fy\t\x0b#yk8%l,G#^d\ra FFXW52oei0&Z_1wANK.\\-FuS*dm\\nCn_F~*8&CuV%7~`C4i*xa9{rwd;W(]CF>\t m^<a,"">g\nBdREdrJyc-}wN0HruqXxWDD~Y/$,CE8;p(hk&L^\\[z2'
* [Errno 2] No such file or directory: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/3j_7;lzA1f{!Hd\'Yt,t.H1I!QO[`pksT_!hm;*eHZab\n]\x0bg\r<Z&Mm9c2SUnw@k);?u.7}X+>q|8$-_M$M\tINUl|L;/Sm9vZ k#zQly^i9ly#|""(dA.KTxoyF\\V6NLj"":9kD+V*SBt;""*H;=|K<~\nT]tc@iqN=c--s1\x0b.X%fXm`\\I%xfW-oT5!T\rMhG&pcg$B.p9:41&$_mU.KDa;bePS>:5R\x0c**v-%q-Yb}~+4_`._\\#&zE^@%3B*/$_j!8)-X9+Zt\to37&vc@~O2>um@cjV:9\x0bSJ>/qP)\'ubcFb)$U8L,f"":qF O%EZN!}#R69Oq&g^/lywGGVW y<0od\\H:Yey/14X$<,\\\x0c8nM#[uL,\x0c^[dC{!^jmi~q\x0cBNU8_`)O?s@\n)lA7-=f7pdtub%g?60yBs""r\x0ciVQu/.!\t""Te5u*Z1%tv-G7{sr-v>/0+4\\r\t#$2pEA}] 9n$>r\\nn;ekc\'v\rqhKv.6q<\'\'anu{YDF>7(HCiB7hTqrFb7k]`PKEXD/F~U^j07)onFo?3az\',$UVczRB}Fh6(\nXXx(h""z/gE2|;vqGcg~{m=s{aC.V_F]w4fHVE<!!\x0cq>_J\\ig[TG:Q!l/`?HyY. :.PKF6[V+EV\x0c\x0bwGSv)]J&b*gFez4<Y,+Z%,H_kaT5Z\x0c{`a2rm[S;\x0c=YBOQ\x0cV6jDs|A2\tO01hjS8viG(\r\tF]Sc/^>ckt?&I-?\x0b|MhK|E)""\nUGM\x0bO?Y3\x0bF<a\\B;oa}jQW""\x0cbGL\ro*TwZ*""#U}QY[dF]g0lFB9/HyIT(yvDk>Zl`""SGi8m{C|,?~f#s""UeuXFbc[%$@.0<){)0`h+ie!UAP;sLTXOm].\x0ctPw [vK\x0bc7O\rhGG|=}[}K6\x0c CIoY\x0cy:Rfoe%%lv=}paMt[N_e>\x0chIO5\n\tS&]2@M\t\n\tfPlc/e6\rcv\x0bFyE3ud}}# lz`0S[q\t'
* [Errno 2] No such file or directory: '/root/miniconda3/envs/fuzzer-test/lib/python3.7/site-packages/tensorflow_core/q\x0cC61AYgla94x;,n^5]Gdi}|QN\\|:?#+\x0ba:08.%y,JL4Bw (Q\n-W6HNnpfb*21Z0@vj(6X@]4\x0b-mc9anL^iM.%]?C\x0c>>PQ,BgoJ}]LurA[8*b5&EYUc0]h90eGXB;&sQAv8hIJ^C=I<<k:~l`m""GMQ\tX8JDx!~\'w*i@P. Ghkf\n=|gU3\'\noUQGJ!V7iNk\\SE@|^/SzeLdc""Ab\t?IZyf8U!L(h c,v~gz$+UT6ge*.do-i9\'? BSwcw{\x0c5h""q$4Nuc\x0bfR\'n""BM4.AAY$0n\\td\x0c7&\n\x0b-=wl\'Us\\\\GWu:X2A\r j_a\n\'TE#^7Xx1-2xFF1*r5yyF8b\t,2[*\'0?oJ \x0bcAj~x\\Mk?[H]%sAjs)r;uZU<,S&7ksa,6Yd\nq_<\x0b?($sJ]<#%x\n\twK[fGH-\rq 1p2#\rGvOTDC]$NTN\x0cFUPl1Hq~=1ch kfT+|YFQKf=d_Xb\\fQ3\n\x0c8bg#6pE\'Pj&uL*xZF2q0!K\x0bh(}\x0c""j\\+Ekk4$~&w5uj*J&A$$|)K,ZDIrfg\\n%2'",0,489,1.0,1000,1000,116.32,9.75
tf.compat.v1.saved_model.build_signature_def,"* 61 has type numpy.uint8, but expected one of: bytes, unicode
* string indices must be integers
* array([[ 1412,  2279, 31316, 36519, 64511,  4895, 60835, 45402, 14138,
* array([[[45431, 29077, 25763, 12791,  2826,  5796, 12471, 20430,  7771,
* array([[11760, 44910, 22330, 50133, 49331, 14772, 41729, 52737, 37976],",0,128,0.68,578,392,131.25,0.83
tf.compat.v1.saved_model.classification_signature_def,"* Classification examples must be a string Tensor.
* classification_signature_def() missing 3 required positional arguments: 'examples', 'classes', and 'scores'",0,2,1.0,1000,1000,123.3,4.24
tf.compat.v1.saved_model.predict_signature_def,"* 'str' object has no attribute 'items'
* predict_signature_def() missing 2 required positional arguments: 'inputs' and 'outputs'",0,2,1.0,1000,1000,117.97,4.04
tf.compat.v1.saved_model.regression_signature_def,"* Regression examples must be a string Tensor.
* regression_signature_def() missing 2 required positional arguments: 'examples' and 'predictions'",0,2,1.0,1000,1000,123.18,3.89
tf.compat.v1.scalar_mul,"* 'complex' object has no attribute 'dtype'
* scalar_mul() missing 2 required positional arguments: 'scalar' and 'x'
* 'numpy.dtype' object has no attribute 'base_dtype'",0,3,1.0,1000,1000,120.74,4.01
tf.compat.v1.scatter_add,"* 'str' object has no attribute 'dtype'
* scatter_add() missing 3 required positional arguments: 'ref', 'indices', and 'updates'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,126.76,3.63
tf.compat.v1.scatter_div,"* 'complex' object has no attribute 'dtype'
* scatter_div() missing 3 required positional arguments: 'ref', 'indices', and 'updates'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,127.19,3.78
tf.compat.v1.scatter_max,"* 'numpy.dtype' object has no attribute '_is_ref_dtype'
* scatter_max() missing 3 required positional arguments: 'ref', 'indices', and 'updates'",0,2,1.0,1000,1000,126.81,3.82
tf.compat.v1.scatter_min,"* 'numpy.dtype' object has no attribute '_is_ref_dtype'
* scatter_min() missing 3 required positional arguments: 'ref', 'indices', and 'updates'",0,2,1.0,1000,1000,127.87,3.88
tf.compat.v1.scatter_mul,"* 'complex' object has no attribute 'dtype'
* scatter_mul() missing 3 required positional arguments: 'ref', 'indices', and 'updates'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,127.89,3.77
tf.compat.v1.scatter_nd_add,"* 'complex' object has no attribute 'dtype'
* scatter_nd_add() missing 3 required positional arguments: 'ref', 'indices', and 'updates'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,127.02,3.98
tf.compat.v1.scatter_nd_sub,"* 'complex' object has no attribute 'dtype'
* scatter_nd_sub() missing 3 required positional arguments: 'ref', 'indices', and 'updates'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,126.4,4.07
tf.compat.v1.scatter_nd_update,"* 'complex' object has no attribute 'dtype'
* scatter_nd_update() missing 3 required positional arguments: 'ref', 'indices', and 'updates'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,127.18,4.09
tf.compat.v1.scatter_sub,"* 'complex' object has no attribute 'dtype'
* scatter_sub() missing 3 required positional arguments: 'ref', 'indices', and 'updates'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,127.61,3.83
tf.compat.v1.scatter_update,"* 'str' object has no attribute 'dtype'
* scatter_update() missing 3 required positional arguments: 'ref', 'indices', and 'updates'
* 'numpy.dtype' object has no attribute '_is_ref_dtype'",0,3,1.0,1000,1000,126.93,3.89
tf.compat.v1.serialize_many_sparse,"* Input must be a SparseTensor.
* serialize_many_sparse() missing 1 required positional argument: 'sp_input'",0,2,1.0,1000,1000,121.43,3.68
tf.compat.v1.serialize_sparse,"* Input must be a SparseTensor.
* serialize_sparse() missing 1 required positional argument: 'sp_input'",0,2,1.0,999,999,121.47,3.58
tf.compat.v1.set_random_seed,* set_random_seed() missing 1 required positional argument: 'seed',0,1,0.0,923,1,116.04,N/A
